Crew_ID,Aircraft_ID,Pilot_Name,Qualification_Level,Total_Flight_Hours,Current_Status
96,92,Pilot_96,Basic,2021,On Leave
97,350,Pilot_97,Intermediate,3902,In Training
98,162,Pilot_98,Intermediate,1098,On Leave
99,371,Pilot_99,Intermediate,4568,In Training
100,121,Pilot_100,Advanced,1434,In Training
101,44,Pilot_101,Intermediate,2512,In Training
102,56,Pilot_102,Intermediate,3866,On Leave
103,400,Pilot_103,Intermediate,987,On Leave
104,476,Pilot_104,Basic,748,On Leave
105,295,Pilot_105,Basic,1396,On Leave
106,302,Pilot_106,Advanced,729,In Training
107,446,Pilot_107,Intermediate,4504,Available
108,224,Pilot_108,Basic,3976,Available
109,318,Pilot_109,Intermediate,3565,On Leave
110,21,Pilot_110,Intermediate,2777,In Training
111,141,Pilot_111,Intermediate,1772,On Leave
112,442,Pilot_112,Intermediate,1320,On Leave
113,25,Pilot_113,Intermediate,4253,In Training
114,352,Pilot_114,Advanced,3874,On Leave
115,68,Pilot_115,Advanced,3397,On Leave
116,236,Pilot_116,Intermediate,3221,In Training
117,452,Pilot_117,Intermediate,1433,On Leave
118,313,Pilot_118,Intermediate,1151,On Leave
119,27,Pilot_119,Intermediate,3543,Available
120,490,Pilot_120,Basic,3332,In Training
121,166,Pilot_121,Basic,4420,Available
122,308,Pilot_122,Intermediate,2987,On Leave
123,85,Pilot_123,Intermediate,1936,Available
124,89,Pilot_124,Intermediate,809,On Leave
125,201,Pilot_125,Basic,3401,In Training
126,163,Pilot_126,Basic,3275,In Training
127,305,Pilot_127,Intermediate,3261,Available
128,242,Pilot_128,Intermediate,3776,Available
129,272,Pilot_129,Advanced,4429,Available
130,318,Pilot_130,Intermediate,3612,Available
131,346,Pilot_131,Intermediate,3352,On Leave
132,87,Pilot_132,Intermediate,4910,Available
133,191,Pilot_133,Basic,4458,In Training
134,79,Pilot_134,Basic,4755,On Leave
135,167,Pilot_135,Intermediate,4252,On Leave
136,33,Pilot_136,Intermediate,910,In Training
137,409,Pilot_137,Basic,4595,On Leave
138,399,Pilot_138,Intermediate,2894,On Leave
139,42,Pilot_139,Basic,2573,On Leave
140,422,Pilot_140,Intermediate,1079,On Leave
141,372,Pilot_141,Basic,3220,Available
142,217,Pilot_142,Advanced,2291,In Training
143,278,Pilot_143,Basic,3489,In Training
144,43,Pilot_144,Basic,4996,In Training
145,339,Pilot_145,Intermediate,1412,On Leave
146,464,Pilot_146,Intermediate,1419,In Training
147,69,Pilot_147,Intermediate,3465,In Training
148,357,Pilot_148,Intermediate,1640,On Leave
149,34,Pilot_149,Intermediate,4234,In Training
150,145,Pilot_150,Basic,2875,In Training
151,4,Pilot_151,Intermediate,1847,Available
152,407,Pilot_152,Intermediate,3269,In Training
153,273,Pilot_153,Advanced,4099,On Leave
154,14,Pilot_154,Basic,4597,Available
155,369,Pilot_155,Intermediate,1625,Available
156,287,Pilot_156,Intermediate,2124,In Training
157,451,Pilot_157,Advanced,4016,Available
158,33,Pilot_158,Advanced,3902,Available
159,327,Pilot_159,Advanced,3384,Available
160,193,Pilot_160,Basic,2911,In Training
161,185,Pilot_161,Intermediate,4329,On Leave
162,427,Pilot_162,Intermediate,4719,In Training
163,429,Pilot_163,Intermediate,637,Available
164,279,Pilot_164,Intermediate,4973,Available
165,210,Pilot_165,Intermediate,3822,On Leave
166,211,Pilot_166,Advanced,3796,Available
167,114,Pilot_167,Advanced,2926,Available
168,312,Pilot_168,Advanced,1949,In Training
169,433,Pilot_169,Intermediate,1972,In Training
170,185,Pilot_170,Intermediate,2174,On Leave
171,124,Pilot_171,Advanced,895,On Leave
172,40,Pilot_172,Intermediate,781,In Training
173,415,Pilot_173,Basic,2562,Available
174,188,Pilot_174,Basic,1536,On Leave
175,266,Pilot_175,Intermediate,4457,On Leave
176,396,Pilot_176,Intermediate,1500,In Training
177,389,Pilot_177,Intermediate,2777,In Training
178,35,Pilot_178,Advanced,4577,In Training
179,82,Pilot_179,Intermediate,1813,On Leave
180,337,Pilot_180,Intermediate,964,Available
181,347,Pilot_181,Intermediate,978,Available
182,95,Pilot_182,Intermediate,1257,Available
183,61,Pilot_183,Intermediate,2028,On Leave
184,81,Pilot_184,Basic,2474,On Leave
185,287,Pilot_185,Advanced,2611,In Training
186,432,Pilot_186,Basic,1087,Available
187,182,Pilot_187,Intermediate,962,On Leave
188,98,Pilot_188,Intermediate,1237,Available
189,384,Pilot_189,Intermediate,1457,On Leave
190,11,Pilot_190,Intermediate,1451,In Training
191,25,Pilot_191,Basic,2455,Available
192,329,Pilot_192,Intermediate,693,On Leave
193,497,Pilot_193,Advanced,1809,On Leave
194,135,Pilot_194,Basic,2567,On Leave
195,378,Pilot_195,Intermediate,4509,Available
196,232,Pilot_196,Intermediate,1918,In Training
197,108,Pilot_197,Basic,775,On Leave
198,120,Pilot_198,Intermediate,4555,In Training
199,284,Pilot_199,Intermediate,2813,Available
200,369,Pilot_200,Advanced,1156,In Training
201,116,Pilot_201,Basic,2832,On Leave
202,75,Pilot_202,Intermediate,3400,Available
203,389,Pilot_203,Basic,1897,In Training
204,163,Pilot_204,Basic,4690,Available
205,240,Pilot_205,Advanced,4907,On Leave
206,311,Pilot_206,Basic,1032,In Training
207,117,Pilot_207,Advanced,1594,In Training
208,197,Pilot_208,Basic,2790,Available
209,220,Pilot_209,Basic,4445,In Training
210,492,Pilot_210,Intermediate,4729,On Leave
211,199,Pilot_211,Intermediate,919,Available
212,65,Pilot_212,Advanced,2712,Available
213,216,Pilot_213,Basic,4130,On Leave
214,222,Pilot_214,Basic,3378,In Training
215,289,Pilot_215,Basic,1419,In Training
216,3,Pilot_216,Basic,1046,On Leave
217,445,Pilot_217,Basic,2019,Available
218,285,Pilot_218,Intermediate,4718,In Training
219,418,Pilot_219,Basic,2571,On Leave
220,131,Pilot_220,Intermediate,4642,In Training
221,110,Pilot_221,Basic,3117,In Training
222,321,Pilot_222,Intermediate,2259,In Training
223,146,Pilot_223,Advanced,2910,Available
224,105,Pilot_224,Intermediate,4718,On Leave
225,104,Pilot_225,Intermediate,3783,Available
226,34,Pilot_226,Intermediate,1059,Available
227,16,Pilot_227,Advanced,1572,In Training
228,446,Pilot_228,Basic,2153,Available
229,32,Pilot_229,Intermediate,2764,Available
230,464,Pilot_230,Advanced,3300,On Leave
231,86,Pilot_231,Basic,3855,In Training
232,277,Pilot_232,Intermediate,3570,In Training
233,350,Pilot_233,Basic,3491,On Leave
234,331,Pilot_234,Basic,4414,Available
235,466,Pilot_235,Basic,2838,On Leave
236,435,Pilot_236,Basic,565,On Leave
237,45,Pilot_237,Basic,2967,On Leave
238,282,Pilot_238,Basic,4054,In Training
239,358,Pilot_239,Intermediate,924,Available
240,9,Pilot_240,Intermediate,4423,On Leave
241,364,Pilot_241,Intermediate,3293,In Training
242,398,Pilot_242,Advanced,2048,In Training
243,443,Pilot_243,Intermediate,1812,In Training
244,395,Pilot_244,Advanced,4942,In Training
245,40,Pilot_245,Intermediate,4552,On Leave
246,313,Pilot_246,Intermediate,1492,In Training
247,241,Pilot_247,Basic,2253,Available
248,283,Pilot_248,Intermediate,1174,Available
249,210,Pilot_249,Intermediate,2881,In Training
250,353,Pilot_250,Intermediate,3185,Available
251,70,Pilot_251,Intermediate,2029,In Training
252,116,Pilot_252,Basic,4822,On Leave
253,491,Pilot_253,Intermediate,1779,In Training
254,109,Pilot_254,Intermediate,2764,In Training
255,303,Pilot_255,Intermediate,1741,In Training
256,42,Pilot_256,Intermediate,1425,In Training
257,185,Pilot_257,Intermediate,2642,Available
258,158,Pilot_258,Basic,1610,In Training
259,152,Pilot_259,Advanced,2255,On Leave
260,479,Pilot_260,Basic,2712,On Leave
261,261,Pilot_261,Intermediate,4337,In Training
262,29,Pilot_262,Advanced,597,Available
263,322,Pilot_263,Intermediate,2623,On Leave
264,276,Pilot_264,Intermediate,2300,On Leave
265,61,Pilot_265,Basic,3356,On Leave
266,145,Pilot_266,Basic,1215,Available
267,184,Pilot_267,Advanced,1174,Available
268,142,Pilot_268,Intermediate,2609,Available
269,233,Pilot_269,Intermediate,3976,In Training
270,208,Pilot_270,Intermediate,2178,On Leave
271,22,Pilot_271,Intermediate,2955,On Leave
272,188,Pilot_272,Intermediate,1452,Available
273,470,Pilot_273,Intermediate,3502,On Leave
274,305,Pilot_274,Advanced,1119,In Training
275,324,Pilot_275,Basic,1937,Available
276,47,Pilot_276,Intermediate,3894,Available
277,315,Pilot_277,Advanced,4805,In Training
278,20,Pilot_278,Intermediate,4889,Available
279,241,Pilot_279,Basic,4790,On Leave
280,428,Pilot_280,Basic,4859,In Training
281,45,Pilot_281,Basic,3323,In Training
282,393,Pilot_282,Basic,4266,On Leave
283,379,Pilot_283,Basic,4685,In Training
284,374,Pilot_284,Basic,4159,In Training
285,301,Pilot_285,Intermediate,2477,On Leave
286,351,Pilot_286,Intermediate,1942,Available
287,120,Pilot_287,Basic,4406,In Training
288,391,Pilot_288,Intermediate,857,In Training
289,233,Pilot_289,Intermediate,4292,In Training
290,20,Pilot_290,Intermediate,3445,In Training
291,473,Pilot_291,Basic,3320,Available
292,130,Pilot_292,Advanced,3195,Available
293,220,Pilot_293,Intermediate,1142,Available
294,369,Pilot_294,Intermediate,2873,On Leave
295,335,Pilot_295,Intermediate,4514,In Training
296,37,Pilot_296,Intermediate,1255,Available
297,191,Pilot_297,Advanced,4513,In Training
298,308,Pilot_298,Basic,1499,On Leave
299,34,Pilot_299,Intermediate,3558,Available
300,331,Pilot_300,Basic,1509,On Leave
301,396,Pilot_301,Intermediate,2892,On Leave
302,111,Pilot_302,Basic,2031,Available
303,350,Pilot_303,Intermediate,2708,Available
304,119,Pilot_304,Intermediate,3650,On Leave
305,92,Pilot_305,Intermediate,612,On Leave
306,462,Pilot_306,Intermediate,872,In Training
307,167,Pilot_307,Intermediate,715,On Leave
308,442,Pilot_308,Advanced,926,On Leave
309,364,Pilot_309,Basic,3080,On Leave
310,321,Pilot_310,Intermediate,2328,Available
311,180,Pilot_311,Intermediate,3106,On Leave
312,245,Pilot_312,Advanced,2433,On Leave
313,472,Pilot_313,Intermediate,1334,In Training
314,166,Pilot_314,Intermediate,2007,In Training
315,427,Pilot_315,Intermediate,1991,On Leave
316,290,Pilot_316,Basic,693,Available
317,20,Pilot_317,Advanced,1286,Available
318,108,Pilot_318,Intermediate,4939,Available
319,131,Pilot_319,Advanced,3281,In Training
320,319,Pilot_320,Advanced,738,In Training
321,5,Pilot_321,Basic,2602,On Leave
322,52,Pilot_322,Intermediate,4910,In Training
323,284,Pilot_323,Intermediate,1187,In Training
324,117,Pilot_324,Intermediate,1276,On Leave
325,116,Pilot_325,Advanced,1495,In Training
326,213,Pilot_326,Basic,807,Available
327,174,Pilot_327,Intermediate,757,On Leave
328,76,Pilot_328,Advanced,3823,Available
329,178,Pilot_329,Intermediate,2385,In Training
330,28,Pilot_330,Intermediate,2376,In Training
331,103,Pilot_331,Basic,608,On Leave
332,144,Pilot_332,Intermediate,3426,In Training
333,457,Pilot_333,Basic,4529,Available
334,488,Pilot_334,Intermediate,3046,On Leave
335,206,Pilot_335,Basic,1638,On Leave
336,334,Pilot_336,Advanced,4753,Available
337,486,Pilot_337,Intermediate,2427,Available
338,263,Pilot_338,Basic,642,On Leave
339,50,Pilot_339,Advanced,3053,Available
340,8,Pilot_340,Basic,1190,On Leave
341,444,Pilot_341,Intermediate,4449,On Leave
342,484,Pilot_342,Basic,4084,In Training
343,273,Pilot_343,Intermediate,3916,In Training
344,260,Pilot_344,Advanced,3414,In Training
345,279,Pilot_345,Basic,3340,In Training
346,444,Pilot_346,Intermediate,4750,In Training
347,494,Pilot_347,Advanced,1515,Available
348,152,Pilot_348,Advanced,4137,In Training
349,195,Pilot_349,Advanced,2420,In Training
350,170,Pilot_350,Intermediate,3471,In Training
351,393,Pilot_351,Intermediate,3830,Available
352,12,Pilot_352,Advanced,4595,On Leave
353,325,Pilot_353,Basic,1332,On Leave
354,75,Pilot_354,Intermediate,4489,Available
355,287,Pilot_355,Advanced,4028,On Leave
356,205,Pilot_356,Intermediate,2740,On Leave
357,234,Pilot_357,Intermediate,1526,In Training
358,495,Pilot_358,Intermediate,3432,In Training
359,251,Pilot_359,Basic,3796,In Training
360,294,Pilot_360,Intermediate,1174,On Leave
361,137,Pilot_361,Advanced,4465,On Leave
362,147,Pilot_362,Advanced,2970,Available
363,119,Pilot_363,Intermediate,1829,On Leave
364,138,Pilot_364,Advanced,2022,On Leave
365,200,Pilot_365,Basic,1471,Available
366,154,Pilot_366,Basic,754,Available
367,423,Pilot_367,Basic,3270,On Leave
368,307,Pilot_368,Advanced,1228,On Leave
369,156,Pilot_369,Intermediate,4998,Available
370,248,Pilot_370,Intermediate,1463,On Leave
371,248,Pilot_371,Intermediate,4104,Available
372,390,Pilot_372,Advanced,3058,Available
373,413,Pilot_373,Intermediate,3316,Available
374,202,Pilot_374,Intermediate,4263,Available
375,211,Pilot_375,Advanced,581,In Training
376,4,Pilot_376,Basic,4753,Available
377,20,Pilot_377,Advanced,2815,Available
378,24,Pilot_378,Intermediate,4990,In Training
379,58,Pilot_379,Intermediate,3353,On Leave
380,367,Pilot_380,Intermediate,1992,In Training
381,81,Pilot_381,Intermediate,3850,On Leave
382,488,Pilot_382,Advanced,4939,On Leave
383,496,Pilot_383,Basic,1594,In Training
384,295,Pilot_384,Intermediate,4625,In Training
385,135,Pilot_385,Advanced,2226,On Leave
386,271,Pilot_386,Advanced,2493,Available
387,95,Pilot_387,Intermediate,808,Available
388,339,Pilot_388,Intermediate,564,On Leave
389,63,Pilot_389,Basic,1487,On Leave
390,266,Pilot_390,Intermediate,4187,In Training
391,400,Pilot_391,Basic,4039,Available
392,235,Pilot_392,Intermediate,1834,In Training
393,211,Pilot_393,Intermediate,4811,In Training
394,394,Pilot_394,Basic,1781,In Training
395,200,Pilot_395,Advanced,4452,Available
396,440,Pilot_396,Intermediate,2490,In Training
397,430,Pilot_397,Basic,3242,On Leave
398,12,Pilot_398,Basic,2942,In Training
399,126,Pilot_399,Advanced,2706,On Leave
400,417,Pilot_400,Intermediate,4217,Available
401,218,Pilot_401,Basic,3866,On Leave
402,414,Pilot_402,Basic,923,On Leave
403,175,Pilot_403,Basic,3495,In Training
404,208,Pilot_404,Basic,2638,On Leave
405,87,Pilot_405,Basic,3555,On Leave
406,266,Pilot_406,Basic,4047,On Leave
407,4,Pilot_407,Basic,621,On Leave
408,105,Pilot_408,Intermediate,3029,In Training
409,457,Pilot_409,Intermediate,1306,On Leave
410,307,Pilot_410,Basic,2978,Available
411,411,Pilot_411,Intermediate,2880,In Training
412,345,Pilot_412,Basic,1759,In Training
413,278,Pilot_413,Basic,1535,In Training
414,201,Pilot_414,Intermediate,2911,In Training
415,342,Pilot_415,Intermediate,666,Available
416,93,Pilot_416,Intermediate,4504,On Leave
417,124,Pilot_417,Intermediate,4541,Available
418,101,Pilot_418,Basic,4689,Available
419,268,Pilot_419,Intermediate,3379,In Training
420,397,Pilot_420,Intermediate,4895,On Leave
421,499,Pilot_421,Intermediate,2845,In Training
422,189,Pilot_422,Intermediate,4518,On Leave
423,236,Pilot_423,Intermediate,4126,On Leave
424,483,Pilot_424,Intermediate,1292,Available
425,66,Pilot_425,Basic,2013,On Leave
426,295,Pilot_426,Intermediate,747,Available
427,323,Pilot_427,Basic,3830,Available
428,132,Pilot_428,Advanced,1770,In Training
429,67,Pilot_429,Intermediate,4046,On Leave
430,310,Pilot_430,Basic,791,In Training
431,408,Pilot_431,Intermediate,2663,On Leave
432,467,Pilot_432,Intermediate,1539,On Leave
433,357,Pilot_433,Intermediate,4448,Available
434,184,Pilot_434,Basic,4993,On Leave
435,315,Pilot_435,Intermediate,2931,On Leave
436,313,Pilot_436,Basic,3792,On Leave
437,233,Pilot_437,Intermediate,4268,In Training
438,418,Pilot_438,Intermediate,2248,Available
439,121,Pilot_439,Intermediate,2654,In Training
440,132,Pilot_440,Intermediate,4294,Available
441,317,Pilot_441,Intermediate,4969,On Leave
442,20,Pilot_442,Basic,2452,Available
443,195,Pilot_443,Basic,740,On Leave
444,214,Pilot_444,Intermediate,3755,Available
445,278,Pilot_445,Basic,1264,On Leave
446,244,Pilot_446,Intermediate,1119,In Training
447,151,Pilot_447,Intermediate,1013,In Training
448,56,Pilot_448,Intermediate,2473,Available
449,125,Pilot_449,Intermediate,919,On Leave
450,70,Pilot_450,Basic,3277,On Leave
451,363,Pilot_451,Intermediate,2928,On Leave
452,478,Pilot_452,Advanced,1462,In Training
453,54,Pilot_453,Intermediate,3633,On Leave
454,481,Pilot_454,Advanced,786,On Leave
455,103,Pilot_455,Advanced,683,On Leave
456,70,Pilot_456,Intermediate,805,In Training
457,95,Pilot_457,Intermediate,3924,In Training
458,116,Pilot_458,Advanced,3138,On Leave
459,242,Pilot_459,Basic,3013,In Training
460,457,Pilot_460,Advanced,3448,In Training
461,119,Pilot_461,Intermediate,3421,In Training
462,416,Pilot_462,Intermediate,1968,In Training
463,203,Pilot_463,Intermediate,2051,On Leave
464,399,Pilot_464,Intermediate,1262,On Leave
465,86,Pilot_465,Advanced,2318,In Training
466,216,Pilot_466,Intermediate,1042,Available
467,221,Pilot_467,Intermediate,3386,On Leave
468,356,Pilot_468,Basic,683,On Leave
469,364,Pilot_469,Intermediate,2608,On Leave
470,291,Pilot_470,Intermediate,4998,On Leave
471,495,Pilot_471,Basic,2029,In Training
472,255,Pilot_472,Intermediate,1829,In Training
473,316,Pilot_473,Intermediate,1448,In Training
474,391,Pilot_474,Intermediate,978,Available
475,481,Pilot_475,Advanced,2755,In Training
476,393,Pilot_476,Intermediate,4233,Available
477,128,Pilot_477,Basic,574,On Leave
478,238,Pilot_478,Intermediate,4629,On Leave
479,109,Pilot_479,Intermediate,1427,In Training
480,267,Pilot_480,Basic,4117,Available
481,257,Pilot_481,Intermediate,2276,In Training
482,248,Pilot_482,Intermediate,1224,Available
483,165,Pilot_483,Intermediate,4797,In Training
484,339,Pilot_484,Intermediate,2814,In Training
485,445,Pilot_485,Advanced,614,Available
486,200,Pilot_486,Intermediate,2423,In Training
487,405,Pilot_487,Basic,2873,On Leave
488,158,Pilot_488,Advanced,2956,Available
489,398,Pilot_489,Intermediate,2665,Available
490,100,Pilot_490,Intermediate,4868,In Training
491,270,Pilot_491,Basic,4863,On Leave
492,268,Pilot_492,Intermediate,1319,Available
493,378,Pilot_493,Basic,3574,Available
494,369,Pilot_494,Advanced,4373,Available
495,490,Pilot_495,Basic,1008,In Training
496,63,Pilot_496,Basic,925,In Training
497,189,Pilot_497,Intermediate,2336,In Training
498,442,Pilot_498,Basic,2481,Available
499,343,Pilot_499,Basic,2472,On Leave
500,236,Pilot_500,Advanced,2880,On Leave
501,156,Pilot_501,Intermediate,3244,In Training
502,477,Pilot_502,Basic,950,In Training
503,149,Pilot_503,Intermediate,4923,Available
504,68,Pilot_504,Intermediate,1549,In Training
505,57,Pilot_505,Basic,4212,Available
506,331,Pilot_506,Intermediate,1374,In Training
507,112,Pilot_507,Basic,4162,In Training
508,183,Pilot_508,Basic,3971,In Training
509,157,Pilot_509,Basic,1013,Available
510,451,Pilot_510,Intermediate,1814,On Leave
511,60,Pilot_511,Intermediate,2962,On Leave
512,360,Pilot_512,Intermediate,3969,In Training
513,156,Pilot_513,Basic,2843,Available
514,326,Pilot_514,Advanced,1535,On Leave
515,425,Pilot_515,Intermediate,3377,On Leave
516,273,Pilot_516,Advanced,2927,In Training
517,115,Pilot_517,Advanced,3132,In Training
518,44,Pilot_518,Intermediate,4378,Available
519,10,Pilot_519,Intermediate,2473,Available
520,242,Pilot_520,Advanced,663,Available
521,329,Pilot_521,Intermediate,4701,Available
522,104,Pilot_522,Basic,620,In Training
523,69,Pilot_523,Basic,1694,In Training
524,210,Pilot_524,Advanced,525,Available
525,476,Pilot_525,Intermediate,1072,On Leave
526,406,Pilot_526,Advanced,4977,Available
527,147,Pilot_527,Advanced,2908,Available
528,110,Pilot_528,Intermediate,2462,On Leave
529,487,Pilot_529,Intermediate,2045,In Training
530,201,Pilot_530,Intermediate,1108,Available
531,296,Pilot_531,Intermediate,965,On Leave
532,187,Pilot_532,Intermediate,1806,In Training
533,130,Pilot_533,Intermediate,565,On Leave
534,373,Pilot_534,Basic,1558,Available
535,40,Pilot_535,Basic,599,On Leave
536,324,Pilot_536,Intermediate,852,In Training
537,299,Pilot_537,Advanced,569,On Leave
538,239,Pilot_538,Intermediate,709,In Training
539,118,Pilot_539,Advanced,904,In Training
540,333,Pilot_540,Advanced,4708,On Leave
541,409,Pilot_541,Intermediate,4283,Available
542,438,Pilot_542,Intermediate,3072,In Training
543,117,Pilot_543,Basic,2705,Available
544,63,Pilot_544,Basic,4596,In Training
545,498,Pilot_545,Intermediate,1204,In Training
546,198,Pilot_546,Advanced,3013,Available
547,271,Pilot_547,Intermediate,3981,In Training
548,30,Pilot_548,Basic,4173,On Leave
549,327,Pilot_549,Intermediate,2419,Available
550,129,Pilot_550,Intermediate,2445,Available
551,188,Pilot_551,Advanced,1712,On Leave
552,368,Pilot_552,Basic,3169,In Training
553,343,Pilot_553,Intermediate,3745,On Leave
554,117,Pilot_554,Advanced,3328,Available
555,369,Pilot_555,Advanced,716,In Training
556,196,Pilot_556,Basic,3747,In Training
557,332,Pilot_557,Basic,4869,Available
558,266,Pilot_558,Intermediate,1003,In Training
559,352,Pilot_559,Basic,3465,On Leave
560,493,Pilot_560,Intermediate,4723,On Leave
561,302,Pilot_561,Intermediate,4053,In Training
562,191,Pilot_562,Advanced,990,On Leave
563,200,Pilot_563,Intermediate,4431,Available
564,218,Pilot_564,Intermediate,2971,In Training
565,134,Pilot_565,Basic,2317,On Leave
566,431,Pilot_566,Advanced,2663,In Training
567,469,Pilot_567,Advanced,2440,In Training
568,9,Pilot_568,Advanced,3696,On Leave
569,200,Pilot_569,Basic,2165,On Leave
570,51,Pilot_570,Basic,963,In Training
571,379,Pilot_571,Intermediate,3615,In Training
572,325,Pilot_572,Basic,2960,In Training
573,381,Pilot_573,Intermediate,2231,Available
574,294,Pilot_574,Basic,1438,On Leave
575,361,Pilot_575,Intermediate,1655,In Training
576,256,Pilot_576,Intermediate,2076,Available
577,64,Pilot_577,Advanced,4948,Available
578,378,Pilot_578,Basic,1510,On Leave
579,41,Pilot_579,Intermediate,1018,In Training
580,404,Pilot_580,Intermediate,3260,In Training
581,218,Pilot_581,Basic,2614,Available
582,241,Pilot_582,Intermediate,3926,In Training
583,476,Pilot_583,Basic,4479,In Training
584,438,Pilot_584,Intermediate,2243,On Leave
585,350,Pilot_585,Intermediate,2639,In Training
586,313,Pilot_586,Advanced,3669,In Training
587,231,Pilot_587,Intermediate,1144,Available
588,418,Pilot_588,Intermediate,1014,In Training
589,329,Pilot_589,Basic,710,On Leave
590,155,Pilot_590,Advanced,1319,In Training
591,146,Pilot_591,Intermediate,3007,Available
592,45,Pilot_592,Basic,2169,On Leave
593,377,Pilot_593,Intermediate,4458,On Leave
594,61,Pilot_594,Advanced,554,In Training
595,372,Pilot_595,Advanced,3580,In Training
596,296,Pilot_596,Intermediate,3984,Available
597,199,Pilot_597,Intermediate,3774,Available
598,175,Pilot_598,Advanced,1457,On Leave
599,351,Pilot_599,Intermediate,3467,In Training
600,13,Pilot_600,Intermediate,4456,In Training
601,413,Pilot_601,Intermediate,3379,In Training
