Record_ID,Aircraft_ID,Date,Status,Reason
134,457,2024-03-21,Partially Mission Capable,Fully Operational
135,254,2024-11-14,Mission Capable,Fully Operational
136,102,2024-09-06,Mission Capable,Fully Operational
137,192,2024-09-26,Partially Mission Capable,Awaiting Parts
138,39,2024-11-10,Mission Capable,Fully Operational
139,386,2024-09-30,Mission Capable,Crew Shortage
140,339,2024-10-04,Partially Mission Capable,Crew Shortage
141,488,2024-10-23,Mission Capable,Awaiting Parts
142,370,2024-12-28,Partially Mission Capable,Fully Operational
143,407,2024-08-14,Partially Mission Capable,Fully Operational
144,1,2024-04-24,Partially Mission Capable,Under Maintenance
145,224,2024-04-17,Partially Mission Capable,Fully Operational
146,142,2024-05-31,Mission Capable,Fully Operational
147,157,2024-01-04,Partially Mission Capable,Fully Operational
148,407,2024-11-22,Mission Capable,Awaiting Parts
149,235,2024-02-03,Mission Capable,Under Maintenance
150,164,2024-06-28,Mission Capable,Under Maintenance
151,7,2024-09-28,Mission Capable,Crew Shortage
152,272,2024-05-30,Mission Capable,Under Maintenance
153,399,2024-03-14,Non-Mission Capable,Crew Shortage
154,93,2024-05-07,Mission Capable,Fully Operational
155,91,2024-11-20,Mission Capable,Under Maintenance
156,365,2024-08-24,Mission Capable,Crew Shortage
157,331,2024-10-07,Mission Capable,Crew Shortage
158,350,2024-12-13,Non-Mission Capable,Awaiting Parts
159,110,2024-01-04,Mission Capable,Crew Shortage
160,473,2024-04-10,Partially Mission Capable,Crew Shortage
161,119,2024-05-03,Non-Mission Capable,Awaiting Parts
162,351,2024-02-06,Mission Capable,Under Maintenance
163,357,2024-07-06,Mission Capable,Under Maintenance
164,183,2024-09-15,Mission Capable,Awaiting Parts
165,381,2024-01-18,Partially Mission Capable,Awaiting Parts
166,388,2024-05-27,Mission Capable,Awaiting Parts
167,153,2024-05-12,Mission Capable,Crew Shortage
168,98,2024-07-12,Partially Mission Capable,Awaiting Parts
169,479,2024-11-03,Mission Capable,Crew Shortage
170,313,2024-11-14,Mission Capable,Under Maintenance
171,440,2024-06-16,Mission Capable,Fully Operational
172,239,2024-01-02,Partially Mission Capable,Fully Operational
173,493,2024-02-20,Mission Capable,Fully Operational
174,415,2024-04-06,Mission Capable,Crew Shortage
175,389,2024-12-01,Mission Capable,Fully Operational
176,426,2024-12-27,Partially Mission Capable,Under Maintenance
177,341,2024-04-02,Partially Mission Capable,Fully Operational
178,21,2024-07-31,Partially Mission Capable,Fully Operational
179,393,2024-04-26,Partially Mission Capable,Under Maintenance
180,329,2024-08-01,Partially Mission Capable,Crew Shortage
181,34,2024-11-13,Mission Capable,Under Maintenance
182,287,2024-09-01,Non-Mission Capable,Crew Shortage
183,153,2024-07-27,Partially Mission Capable,Crew Shortage
184,298,2024-09-20,Mission Capable,Under Maintenance
185,1,2024-10-27,Mission Capable,Fully Operational
186,226,2024-05-15,Partially Mission Capable,Awaiting Parts
187,148,2024-01-05,Mission Capable,Crew Shortage
188,192,2024-01-27,Mission Capable,Under Maintenance
189,140,2024-06-02,Partially Mission Capable,Under Maintenance
190,428,2024-06-12,Partially Mission Capable,Awaiting Parts
191,276,2024-06-20,Mission Capable,Under Maintenance
192,127,2024-03-05,Partially Mission Capable,Under Maintenance
193,236,2024-02-02,Partially Mission Capable,Fully Operational
194,456,2024-02-01,Partially Mission Capable,Under Maintenance
195,445,2024-10-29,Partially Mission Capable,Under Maintenance
196,486,2024-05-14,Partially Mission Capable,Awaiting Parts
197,56,2024-11-01,Mission Capable,Awaiting Parts
198,77,2024-08-14,Partially Mission Capable,Awaiting Parts
199,57,2024-01-26,Partially Mission Capable,Fully Operational
200,363,2024-01-22,Mission Capable,Awaiting Parts
201,446,2024-03-02,Mission Capable,Fully Operational
202,410,2024-11-24,Partially Mission Capable,Crew Shortage
203,234,2024-05-22,Non-Mission Capable,Under Maintenance
204,285,2024-01-22,Mission Capable,Fully Operational
205,315,2024-11-26,Partially Mission Capable,Crew Shortage
206,366,2024-10-25,Mission Capable,Under Maintenance
207,160,2024-06-03,Mission Capable,Fully Operational
208,113,2024-10-18,Mission Capable,Under Maintenance
209,481,2024-08-04,Mission Capable,Fully Operational
210,391,2024-05-15,Mission Capable,Awaiting Parts
211,364,2024-03-14,Partially Mission Capable,Under Maintenance
212,364,2024-07-28,Mission Capable,Under Maintenance
213,139,2024-08-18,Mission Capable,Crew Shortage
214,454,2024-05-06,Partially Mission Capable,Under Maintenance
215,190,2024-05-21,Mission Capable,Crew Shortage
216,186,2024-03-03,Mission Capable,Under Maintenance
217,154,2024-05-13,Mission Capable,Crew Shortage
218,433,2024-01-17,Mission Capable,Awaiting Parts
219,408,2024-12-16,Partially Mission Capable,Crew Shortage
220,455,2024-06-08,Mission Capable,Crew Shortage
221,417,2024-08-11,Mission Capable,Awaiting Parts
222,406,2024-07-09,Mission Capable,Crew Shortage
223,214,2024-09-06,Partially Mission Capable,Under Maintenance
224,247,2024-12-15,Partially Mission Capable,Crew Shortage
225,227,2024-05-24,Non-Mission Capable,Awaiting Parts
226,46,2024-04-26,Mission Capable,Crew Shortage
227,426,2024-10-16,Partially Mission Capable,Under Maintenance
228,99,2024-11-11,Mission Capable,Awaiting Parts
229,113,2024-02-06,Non-Mission Capable,Fully Operational
230,66,2024-01-11,Mission Capable,Awaiting Parts
231,111,2024-01-21,Mission Capable,Under Maintenance
232,193,2024-06-13,Non-Mission Capable,Awaiting Parts
233,467,2024-08-31,Mission Capable,Crew Shortage
234,14,2024-06-29,Mission Capable,Awaiting Parts
235,464,2024-12-30,Partially Mission Capable,Awaiting Parts
236,241,2024-09-16,Partially Mission Capable,Crew Shortage
237,435,2024-09-30,Mission Capable,Fully Operational
238,145,2024-06-07,Mission Capable,Fully Operational
239,282,2024-03-18,Partially Mission Capable,Awaiting Parts
240,208,2024-11-30,Mission Capable,Awaiting Parts
241,286,2024-08-24,Mission Capable,Awaiting Parts
242,425,2024-07-13,Mission Capable,Fully Operational
243,28,2024-03-24,Mission Capable,Fully Operational
244,367,2024-08-24,Mission Capable,Under Maintenance
245,12,2024-04-07,Mission Capable,Fully Operational
246,50,2024-08-27,Mission Capable,Crew Shortage
247,32,2024-08-01,Mission Capable,Awaiting Parts
248,89,2024-05-24,Partially Mission Capable,Crew Shortage
249,376,2024-03-26,Mission Capable,Crew Shortage
250,418,2024-02-11,Mission Capable,Under Maintenance
251,52,2024-03-08,Partially Mission Capable,Awaiting Parts
252,481,2024-12-02,Mission Capable,Under Maintenance
253,66,2024-05-05,Partially Mission Capable,Awaiting Parts
254,248,2024-11-15,Mission Capable,Awaiting Parts
255,259,2024-01-30,Mission Capable,Crew Shortage
256,64,2024-04-01,Partially Mission Capable,Fully Operational
257,419,2024-06-10,Partially Mission Capable,Awaiting Parts
258,104,2024-02-09,Non-Mission Capable,Crew Shortage
259,380,2024-03-05,Mission Capable,Under Maintenance
260,488,2024-02-06,Partially Mission Capable,Under Maintenance
261,388,2024-04-23,Mission Capable,Crew Shortage
262,112,2024-03-25,Partially Mission Capable,Fully Operational
263,266,2024-03-31,Mission Capable,Under Maintenance
264,248,2024-11-12,Partially Mission Capable,Crew Shortage
265,475,2024-03-13,Mission Capable,Awaiting Parts
266,425,2024-11-06,Partially Mission Capable,Fully Operational
267,393,2024-05-14,Partially Mission Capable,Awaiting Parts
268,233,2024-07-13,Mission Capable,Crew Shortage
269,239,2024-12-26,Mission Capable,Awaiting Parts
270,104,2024-10-23,Mission Capable,Fully Operational
271,268,2024-07-31,Mission Capable,Crew Shortage
272,384,2024-08-20,Partially Mission Capable,Awaiting Parts
273,108,2024-09-12,Mission Capable,Awaiting Parts
274,433,2024-10-06,Partially Mission Capable,Under Maintenance
275,320,2024-08-13,Partially Mission Capable,Under Maintenance
276,388,2024-08-07,Mission Capable,Crew Shortage
277,467,2024-06-28,Partially Mission Capable,Crew Shortage
278,406,2024-06-26,Partially Mission Capable,Fully Operational
279,64,2024-03-20,Mission Capable,Crew Shortage
280,301,2024-01-19,Partially Mission Capable,Under Maintenance
281,49,2024-11-13,Mission Capable,Under Maintenance
282,485,2024-02-03,Partially Mission Capable,Under Maintenance
283,155,2024-02-16,Mission Capable,Crew Shortage
284,361,2024-03-17,Mission Capable,Crew Shortage
285,277,2024-03-04,Mission Capable,Crew Shortage
286,428,2024-09-06,Mission Capable,Under Maintenance
287,181,2024-04-27,Mission Capable,Crew Shortage
288,364,2024-12-09,Mission Capable,Awaiting Parts
289,1,2024-08-23,Non-Mission Capable,Awaiting Parts
290,384,2024-01-05,Mission Capable,Awaiting Parts
291,320,2024-04-04,Mission Capable,Under Maintenance
292,250,2024-01-02,Non-Mission Capable,Fully Operational
293,393,2024-03-17,Mission Capable,Under Maintenance
294,333,2024-12-30,Partially Mission Capable,Crew Shortage
295,450,2024-12-17,Mission Capable,Awaiting Parts
296,177,2024-07-24,Mission Capable,Fully Operational
297,463,2024-04-25,Partially Mission Capable,Crew Shortage
298,201,2024-01-12,Mission Capable,Under Maintenance
299,368,2024-06-12,Mission Capable,Crew Shortage
300,395,2024-04-16,Mission Capable,Crew Shortage
301,239,2024-03-14,Mission Capable,Awaiting Parts
302,500,2024-05-26,Mission Capable,Under Maintenance
303,483,2024-12-13,Non-Mission Capable,Awaiting Parts
304,36,2024-08-12,Mission Capable,Crew Shortage
305,76,2024-06-28,Mission Capable,Fully Operational
306,394,2024-08-09,Mission Capable,Crew Shortage
307,232,2024-12-29,Non-Mission Capable,Awaiting Parts
308,114,2024-05-22,Partially Mission Capable,Under Maintenance
309,383,2024-02-19,Mission Capable,Fully Operational
310,277,2024-01-02,Mission Capable,Under Maintenance
311,474,2024-04-20,Mission Capable,Crew Shortage
312,319,2024-09-13,Non-Mission Capable,Awaiting Parts
313,272,2024-11-24,Mission Capable,Fully Operational
314,407,2024-05-11,Mission Capable,Awaiting Parts
315,247,2024-04-12,Partially Mission Capable,Fully Operational
316,119,2024-02-28,Mission Capable,Crew Shortage
317,455,2024-03-01,Partially Mission Capable,Awaiting Parts
318,112,2024-06-26,Mission Capable,Crew Shortage
319,43,2024-05-30,Partially Mission Capable,Awaiting Parts
320,19,2024-12-16,Partially Mission Capable,Awaiting Parts
321,92,2024-04-08,Partially Mission Capable,Fully Operational
322,477,2024-02-21,Mission Capable,Fully Operational
323,458,2024-01-06,Mission Capable,Crew Shortage
324,461,2024-05-22,Mission Capable,Crew Shortage
325,68,2024-09-12,Mission Capable,Under Maintenance
326,275,2024-12-28,Mission Capable,Fully Operational
327,424,2024-03-08,Mission Capable,Awaiting Parts
328,177,2024-04-09,Mission Capable,Under Maintenance
329,47,2024-01-14,Non-Mission Capable,Fully Operational
330,396,2024-08-01,Partially Mission Capable,Awaiting Parts
331,369,2024-02-07,Mission Capable,Awaiting Parts
332,478,2024-10-31,Partially Mission Capable,Crew Shortage
333,273,2024-02-02,Mission Capable,Under Maintenance
334,161,2024-03-30,Mission Capable,Fully Operational
335,149,2024-07-05,Non-Mission Capable,Fully Operational
336,378,2024-02-26,Partially Mission Capable,Under Maintenance
337,260,2024-10-04,Mission Capable,Fully Operational
338,428,2024-11-10,Partially Mission Capable,Fully Operational
339,395,2024-05-25,Partially Mission Capable,Awaiting Parts
340,469,2024-07-09,Partially Mission Capable,Crew Shortage
341,240,2024-03-31,Non-Mission Capable,Fully Operational
342,162,2024-08-10,Partially Mission Capable,Awaiting Parts
343,481,2024-10-02,Partially Mission Capable,Crew Shortage
344,373,2024-09-16,Partially Mission Capable,Fully Operational
345,221,2024-04-01,Mission Capable,Awaiting Parts
346,162,2024-04-01,Mission Capable,Crew Shortage
347,169,2024-10-31,Mission Capable,Fully Operational
348,84,2024-01-29,Mission Capable,Awaiting Parts
349,302,2024-05-31,Non-Mission Capable,Awaiting Parts
350,362,2024-02-25,Partially Mission Capable,Crew Shortage
351,80,2024-09-04,Mission Capable,Crew Shortage
352,261,2024-04-18,Mission Capable,Awaiting Parts
353,102,2024-02-15,Mission Capable,Crew Shortage
354,121,2024-04-16,Mission Capable,Fully Operational
355,219,2024-06-22,Mission Capable,Fully Operational
356,382,2024-08-03,Mission Capable,Under Maintenance
357,231,2024-04-16,Mission Capable,Awaiting Parts
358,456,2024-01-13,Partially Mission Capable,Fully Operational
359,319,2024-04-24,Mission Capable,Crew Shortage
360,182,2024-12-21,Partially Mission Capable,Crew Shortage
361,50,2024-09-25,Partially Mission Capable,Crew Shortage
362,142,2024-05-10,Mission Capable,Fully Operational
363,303,2024-12-04,Partially Mission Capable,Crew Shortage
364,90,2024-07-04,Mission Capable,Crew Shortage
365,365,2024-10-24,Mission Capable,Awaiting Parts
366,165,2024-11-12,Mission Capable,Crew Shortage
367,99,2024-08-21,Non-Mission Capable,Crew Shortage
368,10,2024-11-28,Mission Capable,Awaiting Parts
369,289,2024-12-21,Mission Capable,Crew Shortage
370,222,2024-06-29,Mission Capable,Under Maintenance
371,297,2024-01-18,Mission Capable,Under Maintenance
372,340,2024-10-02,Non-Mission Capable,Under Maintenance
373,256,2024-04-26,Partially Mission Capable,Awaiting Parts
374,452,2024-08-20,Mission Capable,Crew Shortage
375,433,2024-11-03,Mission Capable,Awaiting Parts
376,461,2024-06-20,Non-Mission Capable,Fully Operational
377,125,2024-02-10,Mission Capable,Under Maintenance
378,85,2024-09-26,Mission Capable,Crew Shortage
379,274,2024-08-23,Mission Capable,Under Maintenance
380,420,2024-03-16,Partially Mission Capable,Awaiting Parts
381,285,2024-12-17,Mission Capable,Under Maintenance
382,446,2024-06-16,Mission Capable,Fully Operational
383,38,2024-08-29,Partially Mission Capable,Fully Operational
384,7,2024-09-25,Partially Mission Capable,Under Maintenance
385,214,2024-03-30,Non-Mission Capable,Fully Operational
386,109,2024-01-29,Mission Capable,Fully Operational
387,215,2024-07-31,Mission Capable,Under Maintenance
388,377,2024-12-02,Partially Mission Capable,Fully Operational
389,267,2024-04-22,Mission Capable,Crew Shortage
390,277,2024-11-21,Mission Capable,Crew Shortage
391,406,2024-09-09,Mission Capable,Under Maintenance
392,374,2024-01-17,Mission Capable,Crew Shortage
393,101,2024-03-16,Mission Capable,Fully Operational
394,285,2024-12-19,Partially Mission Capable,Under Maintenance
395,147,2024-11-23,Partially Mission Capable,Crew Shortage
396,500,2024-05-03,Mission Capable,Under Maintenance
397,282,2024-11-25,Mission Capable,Crew Shortage
398,374,2024-07-08,Partially Mission Capable,Under Maintenance
399,163,2024-11-27,Mission Capable,Fully Operational
400,343,2024-04-09,Mission Capable,Crew Shortage
401,375,2024-10-13,Mission Capable,Crew Shortage
402,245,2024-06-28,Mission Capable,Fully Operational
403,91,2024-01-22,Partially Mission Capable,Crew Shortage
404,291,2024-01-14,Mission Capable,Crew Shortage
405,261,2024-01-17,Mission Capable,Crew Shortage
406,114,2024-11-07,Partially Mission Capable,Fully Operational
407,377,2024-04-13,Partially Mission Capable,Fully Operational
408,102,2024-11-19,Mission Capable,Fully Operational
409,34,2024-01-07,Non-Mission Capable,Fully Operational
410,7,2024-03-19,Mission Capable,Awaiting Parts
411,83,2024-01-08,Mission Capable,Awaiting Parts
412,431,2024-01-28,Mission Capable,Fully Operational
413,472,2024-04-15,Mission Capable,Fully Operational
414,321,2024-05-03,Non-Mission Capable,Crew Shortage
415,100,2024-10-09,Mission Capable,Crew Shortage
416,273,2024-08-04,Mission Capable,Under Maintenance
417,237,2024-02-16,Mission Capable,Crew Shortage
418,387,2024-03-13,Mission Capable,Fully Operational
419,301,2024-08-11,Non-Mission Capable,Awaiting Parts
420,49,2024-05-17,Mission Capable,Under Maintenance
421,459,2024-11-03,Partially Mission Capable,Fully Operational
422,197,2024-03-22,Mission Capable,Under Maintenance
423,268,2024-03-02,Mission Capable,Crew Shortage
424,47,2024-06-22,Mission Capable,Awaiting Parts
425,498,2024-09-09,Mission Capable,Crew Shortage
426,414,2024-07-22,Partially Mission Capable,Fully Operational
427,116,2024-06-25,Mission Capable,Under Maintenance
428,77,2024-01-03,Mission Capable,Under Maintenance
429,181,2024-10-21,Mission Capable,Awaiting Parts
430,466,2024-09-28,Partially Mission Capable,Awaiting Parts
431,74,2024-08-03,Mission Capable,Under Maintenance
432,427,2024-03-02,Mission Capable,Under Maintenance
433,155,2024-08-22,Mission Capable,Fully Operational
434,464,2024-07-28,Mission Capable,Under Maintenance
435,25,2024-08-28,Mission Capable,Awaiting Parts
436,281,2024-03-01,Mission Capable,Crew Shortage
437,393,2024-01-31,Mission Capable,Crew Shortage
438,35,2024-11-28,Partially Mission Capable,Awaiting Parts
439,209,2024-10-27,Mission Capable,Under Maintenance
440,349,2024-03-30,Mission Capable,Fully Operational
441,449,2024-02-11,Partially Mission Capable,Under Maintenance
442,314,2024-10-28,Mission Capable,Fully Operational
443,73,2024-08-12,Partially Mission Capable,Under Maintenance
444,385,2024-05-17,Mission Capable,Crew Shortage
445,105,2024-12-19,Mission Capable,Under Maintenance
446,20,2024-05-27,Non-Mission Capable,Under Maintenance
447,441,2024-07-21,Partially Mission Capable,Fully Operational
448,424,2024-09-02,Partially Mission Capable,Awaiting Parts
449,389,2024-12-19,Partially Mission Capable,Under Maintenance
450,429,2024-09-14,Non-Mission Capable,Crew Shortage
451,65,2024-05-14,Mission Capable,Awaiting Parts
452,324,2024-04-09,Mission Capable,Fully Operational
453,404,2024-12-25,Mission Capable,Fully Operational
454,425,2024-10-09,Mission Capable,Awaiting Parts
455,274,2024-02-13,Mission Capable,Under Maintenance
456,117,2024-06-22,Non-Mission Capable,Under Maintenance
457,225,2024-01-28,Non-Mission Capable,Awaiting Parts
458,142,2024-09-23,Mission Capable,Fully Operational
459,248,2024-09-30,Partially Mission Capable,Under Maintenance
460,25,2024-08-13,Partially Mission Capable,Fully Operational
461,356,2024-12-17,Partially Mission Capable,Crew Shortage
462,316,2024-09-21,Mission Capable,Under Maintenance
463,238,2024-05-01,Partially Mission Capable,Fully Operational
464,371,2024-12-17,Mission Capable,Crew Shortage
465,274,2024-02-17,Mission Capable,Fully Operational
466,368,2024-01-01,Mission Capable,Awaiting Parts
467,332,2024-06-01,Non-Mission Capable,Fully Operational
468,139,2024-06-01,Mission Capable,Fully Operational
469,380,2024-10-03,Non-Mission Capable,Crew Shortage
470,67,2024-06-13,Mission Capable,Crew Shortage
471,437,2024-02-15,Partially Mission Capable,Awaiting Parts
472,100,2024-12-25,Mission Capable,Fully Operational
473,478,2024-05-05,Mission Capable,Fully Operational
474,71,2024-08-16,Mission Capable,Under Maintenance
475,21,2024-10-16,Partially Mission Capable,Crew Shortage
476,183,2024-05-25,Mission Capable,Awaiting Parts
477,266,2024-11-18,Partially Mission Capable,Awaiting Parts
478,142,2024-01-14,Partially Mission Capable,Under Maintenance
479,303,2024-05-08,Mission Capable,Under Maintenance
480,35,2024-02-03,Mission Capable,Crew Shortage
481,475,2024-09-23,Mission Capable,Fully Operational
482,242,2024-09-11,Non-Mission Capable,Crew Shortage
483,381,2024-08-29,Mission Capable,Fully Operational
484,129,2024-04-21,Mission Capable,Awaiting Parts
485,167,2024-06-11,Mission Capable,Fully Operational
486,257,2024-01-10,Non-Mission Capable,Under Maintenance
487,41,2024-08-23,Mission Capable,Awaiting Parts
488,74,2024-12-25,Non-Mission Capable,Crew Shortage
489,35,2024-07-02,Mission Capable,Fully Operational
490,90,2024-01-07,Mission Capable,Crew Shortage
491,274,2024-08-28,Partially Mission Capable,Fully Operational
492,127,2024-09-24,Partially Mission Capable,Awaiting Parts
493,234,2024-11-23,Mission Capable,Under Maintenance
494,164,2024-09-05,Partially Mission Capable,Awaiting Parts
495,313,2024-03-20,Partially Mission Capable,Awaiting Parts
496,343,2024-04-30,Mission Capable,Fully Operational
497,363,2024-02-24,Partially Mission Capable,Fully Operational
498,50,2024-01-13,Mission Capable,Fully Operational
499,56,2024-07-28,Partially Mission Capable,Under Maintenance
500,249,2024-03-01,Non-Mission Capable,Crew Shortage
501,334,2024-11-16,Mission Capable,Fully Operational
502,294,2024-04-25,Mission Capable,Awaiting Parts
503,284,2024-12-22,Partially Mission Capable,Under Maintenance
504,15,2024-07-21,Non-Mission Capable,Crew Shortage
505,364,2024-09-26,Partially Mission Capable,Awaiting Parts
506,124,2024-03-31,Mission Capable,Crew Shortage
507,469,2024-08-30,Mission Capable,Awaiting Parts
508,132,2024-07-09,Mission Capable,Under Maintenance
509,159,2024-06-25,Partially Mission Capable,Crew Shortage
510,491,2024-02-01,Mission Capable,Fully Operational
511,438,2024-01-22,Mission Capable,Awaiting Parts
