Flight_ID,Aircraft_ID,Date,Flight_Hours,Mission_Type
67,129,2024-02-25,7.9,Combat
68,422,2024-05-27,3.7,Test Flight
69,158,2024-01-11,3.6,Training
70,496,2024-12-22,5.2,Reconnaissance
71,128,2024-05-11,5.4,Training
72,126,2024-04-14,3.5,Logistics
73,464,2024-05-27,1.9,Logistics
74,40,2024-12-11,2.8,Combat
75,32,2024-03-09,7.2,Test Flight
76,106,2024-06-25,4.4,Training
77,420,2024-12-02,7.2,Reconnaissance
78,313,2024-08-11,9.5,Logistics
79,73,2024-09-21,0.6,Reconnaissance
80,228,2024-07-06,6.6,Combat
81,341,2024-09-06,5.6,Training
82,83,2024-04-19,5.0,Combat
83,496,2024-05-08,9.3,Combat
84,220,2024-07-12,3.3,Combat
85,174,2024-01-06,1.2,Test Flight
86,373,2024-02-15,6.5,Reconnaissance
87,117,2024-03-19,8.6,Logistics
88,354,2024-06-30,7.9,Logistics
89,191,2024-04-04,7.2,Training
90,145,2024-07-18,8.5,Combat
91,409,2024-01-02,6.3,Test Flight
92,158,2024-10-06,6.2,Test Flight
93,462,2024-07-19,7.8,Reconnaissance
94,188,2024-07-10,5.0,Training
95,87,2024-01-25,5.7,Logistics
96,389,2024-08-19,4.2,Training
97,398,2024-02-06,2.9,Logistics
98,475,2024-09-27,8.7,Logistics
99,444,2024-06-27,2.4,Combat
100,266,2024-10-05,6.6,Logistics
101,85,2024-07-24,5.6,Logistics
102,162,2024-07-24,6.6,Test Flight
103,316,2024-02-07,8.6,Training
104,300,2024-01-19,5.8,Reconnaissance
105,478,2024-11-21,2.7,Combat
106,414,2024-01-20,3.2,Training
107,355,2024-05-21,5.2,Logistics
108,59,2024-07-12,7.4,Combat
109,458,2024-07-19,1.6,Reconnaissance
110,32,2024-02-06,4.5,Reconnaissance
111,396,2024-10-17,1.7,Logistics
112,59,2024-02-09,6.1,Training
113,215,2024-08-13,6.0,Test Flight
114,226,2024-10-28,7.3,Reconnaissance
115,332,2024-10-17,5.9,Training
116,302,2024-10-28,10.0,Test Flight
117,141,2024-06-01,2.1,Test Flight
118,5,2024-08-01,3.7,Logistics
119,452,2024-06-28,2.2,Reconnaissance
120,363,2024-12-17,2.6,Logistics
121,462,2024-09-30,1.4,Combat
122,5,2024-11-09,2.9,Reconnaissance
123,198,2024-03-11,7.3,Test Flight
124,60,2024-12-08,2.9,Logistics
125,120,2024-07-07,6.7,Training
126,460,2024-12-08,6.0,Test Flight
127,421,2024-04-24,7.3,Logistics
128,110,2024-07-21,1.3,Test Flight
129,118,2024-10-08,6.9,Logistics
130,38,2024-04-22,3.9,Logistics
131,70,2024-11-30,3.1,Test Flight
132,460,2024-06-13,6.7,Test Flight
133,241,2024-07-06,2.7,Test Flight
134,396,2024-04-03,7.8,Combat
135,289,2024-07-13,6.5,Reconnaissance
136,359,2024-12-07,8.5,Training
137,20,2024-06-13,5.6,Combat
138,299,2024-11-30,5.1,Test Flight
139,63,2024-11-28,2.4,Combat
140,479,2024-05-06,1.0,Training
141,139,2024-02-03,2.5,Training
142,363,2024-06-28,3.8,Test Flight
143,384,2024-02-06,7.5,Reconnaissance
144,181,2024-04-29,3.5,Reconnaissance
145,57,2024-10-17,5.3,Logistics
146,496,2024-12-26,8.1,Test Flight
147,80,2024-04-07,3.7,Logistics
148,36,2024-12-23,2.5,Logistics
149,27,2024-09-25,2.5,Training
150,180,2024-11-17,6.1,Logistics
151,204,2024-08-18,9.8,Logistics
152,484,2024-06-17,4.5,Logistics
153,269,2024-02-27,2.5,Training
154,410,2024-10-31,9.4,Logistics
155,216,2024-06-12,3.7,Test Flight
156,221,2024-01-22,4.4,Training
157,188,2024-03-19,3.0,Reconnaissance
158,328,2024-01-01,6.6,Reconnaissance
159,349,2024-07-01,3.7,Combat
160,429,2024-11-19,4.9,Training
161,81,2024-04-07,3.8,Logistics
162,420,2024-06-05,4.3,Reconnaissance
163,134,2024-03-14,5.3,Combat
164,175,2024-01-25,4.0,Combat
165,424,2024-05-04,9.7,Test Flight
166,192,2024-02-06,4.9,Reconnaissance
167,341,2024-09-04,6.1,Logistics
168,168,2024-12-21,6.8,Combat
169,13,2024-11-28,3.6,Test Flight
170,241,2024-08-07,6.9,Logistics
171,395,2024-10-13,6.5,Test Flight
172,153,2024-02-20,5.8,Training
173,190,2024-11-21,8.6,Training
174,241,2024-10-14,2.8,Reconnaissance
175,38,2024-10-14,4.6,Logistics
176,260,2024-02-11,1.9,Logistics
177,77,2024-07-28,9.4,Training
178,178,2024-04-04,6.9,Test Flight
179,442,2024-01-30,9.4,Reconnaissance
180,64,2024-05-09,0.7,Reconnaissance
181,113,2024-12-06,5.3,Test Flight
182,471,2024-08-27,1.8,Logistics
183,39,2024-06-25,9.2,Logistics
184,250,2024-11-03,9.2,Test Flight
185,400,2024-08-30,5.6,Test Flight
186,87,2024-05-07,7.6,Test Flight
187,434,2024-03-27,3.3,Reconnaissance
188,285,2024-12-02,1.5,Reconnaissance
189,134,2024-03-15,2.0,Training
190,321,2024-08-28,5.8,Reconnaissance
191,386,2024-10-14,6.0,Combat
192,424,2024-05-30,8.5,Reconnaissance
193,377,2024-09-10,6.9,Logistics
194,21,2024-04-21,6.2,Combat
195,416,2024-01-30,8.4,Combat
196,452,2024-09-18,8.6,Test Flight
197,348,2024-07-15,9.6,Training
198,36,2024-11-04,0.6,Reconnaissance
199,359,2024-07-28,3.6,Reconnaissance
200,161,2024-02-13,7.9,Reconnaissance
201,400,2024-09-12,8.4,Logistics
202,484,2024-01-17,1.6,Test Flight
203,117,2024-02-01,7.7,Combat
204,86,2024-11-06,0.8,Logistics
205,10,2024-01-13,2.5,Reconnaissance
206,223,2024-04-24,3.9,Training
207,422,2024-09-11,3.2,Test Flight
208,339,2024-06-20,1.9,Reconnaissance
209,269,2024-05-20,0.6,Logistics
210,209,2024-01-14,4.4,Test Flight
211,84,2024-01-08,5.4,Reconnaissance
212,85,2024-10-22,7.0,Reconnaissance
213,374,2024-12-09,9.8,Logistics
214,362,2024-11-17,1.8,Test Flight
215,357,2024-12-20,9.0,Combat
216,167,2024-04-02,5.6,Logistics
217,54,2024-08-02,7.3,Logistics
218,414,2024-05-16,7.7,Logistics
219,92,2024-09-12,4.2,Test Flight
220,253,2024-07-16,2.3,Logistics
221,435,2024-06-17,3.1,Reconnaissance
222,204,2024-10-30,7.1,Test Flight
223,32,2024-06-01,7.9,Test Flight
224,286,2024-09-14,7.9,Combat
225,407,2024-02-10,4.1,Reconnaissance
226,115,2024-12-16,9.5,Logistics
227,106,2024-11-06,1.5,Training
228,381,2024-06-13,8.5,Training
229,70,2024-02-12,6.9,Combat
230,344,2024-02-21,5.3,Logistics
231,364,2024-07-06,2.4,Combat
232,316,2024-09-10,4.3,Logistics
233,64,2024-03-28,8.9,Logistics
234,488,2024-09-11,1.0,Combat
235,64,2024-04-12,3.0,Test Flight
236,202,2024-10-07,1.7,Combat
237,37,2024-07-27,1.2,Test Flight
238,309,2024-01-12,9.2,Logistics
239,440,2024-03-31,9.2,Logistics
240,179,2024-12-26,8.8,Training
241,58,2024-03-02,2.6,Test Flight
242,183,2024-08-10,3.8,Combat
243,388,2024-11-13,0.8,Logistics
244,235,2024-09-22,2.7,Test Flight
245,446,2024-12-11,9.8,Combat
246,204,2024-10-10,3.5,Training
247,199,2024-03-22,6.8,Logistics
248,188,2024-08-06,4.9,Test Flight
249,27,2024-08-27,7.2,Combat
250,331,2024-12-08,2.4,Reconnaissance
251,201,2024-06-13,8.3,Logistics
252,3,2024-01-07,9.0,Logistics
253,113,2024-04-12,7.6,Test Flight
254,360,2024-03-21,7.2,Test Flight
255,179,2024-10-19,7.0,Combat
256,22,2024-01-27,1.2,Logistics
257,217,2024-10-07,5.7,Training
258,109,2024-10-26,7.3,Test Flight
259,238,2024-05-12,7.8,Test Flight
260,141,2024-05-22,5.0,Combat
261,72,2024-09-29,6.2,Test Flight
262,118,2024-03-04,7.5,Training
263,24,2024-07-04,5.8,Training
264,402,2024-11-28,0.6,Combat
265,170,2024-05-10,5.4,Reconnaissance
266,168,2024-08-04,3.5,Test Flight
267,330,2024-05-28,0.8,Reconnaissance
268,297,2024-09-29,1.5,Logistics
269,60,2024-10-10,5.5,Reconnaissance
270,285,2024-06-26,8.2,Combat
271,398,2024-04-19,5.3,Reconnaissance
272,364,2024-10-31,4.5,Reconnaissance
273,485,2024-12-08,1.7,Logistics
274,339,2024-02-19,7.9,Test Flight
275,221,2024-02-08,6.6,Combat
276,127,2024-10-16,0.6,Reconnaissance
277,63,2024-07-27,7.8,Combat
278,118,2024-06-06,4.7,Test Flight
279,222,2024-02-14,9.1,Training
280,213,2024-09-01,0.7,Training
281,150,2024-03-10,9.7,Test Flight
282,173,2024-10-31,3.5,Reconnaissance
283,202,2024-12-05,4.9,Training
284,418,2024-08-19,8.8,Reconnaissance
285,443,2024-10-04,4.0,Logistics
286,81,2024-12-01,6.7,Combat
287,254,2024-05-15,4.5,Reconnaissance
288,400,2024-07-23,8.5,Test Flight
289,130,2024-02-09,6.7,Training
290,234,2024-05-29,3.3,Test Flight
291,136,2024-05-26,2.7,Combat
292,301,2024-04-30,6.5,Combat
293,411,2024-08-29,2.1,Combat
294,299,2024-09-17,4.2,Test Flight
295,78,2024-06-23,5.3,Combat
296,418,2024-06-12,4.9,Test Flight
297,416,2024-06-28,1.6,Logistics
298,181,2024-10-29,8.0,Training
299,427,2024-07-06,2.9,Combat
300,351,2024-08-22,6.8,Logistics
301,428,2024-12-17,7.7,Combat
302,329,2024-05-26,3.9,Test Flight
303,398,2024-03-22,1.2,Test Flight
304,71,2024-04-03,4.1,Logistics
305,89,2024-12-18,2.3,Logistics
306,200,2024-12-14,3.9,Combat
307,383,2024-07-06,8.8,Combat
308,392,2024-11-05,3.0,Reconnaissance
309,51,2024-07-09,9.0,Logistics
310,417,2024-10-14,3.7,Combat
311,14,2024-01-18,5.3,Logistics
312,492,2024-03-12,5.9,Training
313,42,2024-11-17,1.4,Combat
314,493,2024-12-13,5.3,Reconnaissance
315,155,2024-11-28,8.9,Training
316,316,2024-05-07,8.5,Test Flight
317,259,2024-08-10,7.6,Reconnaissance
318,81,2024-03-20,3.5,Reconnaissance
319,107,2024-01-21,5.4,Logistics
320,341,2024-10-14,8.6,Test Flight
321,391,2024-03-17,7.4,Training
322,489,2024-07-31,0.7,Training
323,396,2024-03-29,4.9,Training
324,481,2024-07-15,3.6,Logistics
325,421,2024-03-26,8.2,Reconnaissance
326,292,2024-02-23,5.2,Combat
327,236,2024-11-02,1.4,Test Flight
328,94,2024-05-29,4.9,Test Flight
329,362,2024-03-06,5.2,Reconnaissance
330,298,2024-04-14,7.6,Reconnaissance
331,182,2024-01-15,4.7,Reconnaissance
332,129,2024-11-24,5.6,Test Flight
333,315,2024-06-05,4.6,Test Flight
334,494,2024-11-23,3.8,Logistics
335,493,2024-10-14,8.9,Test Flight
336,479,2024-03-30,9.0,Training
337,452,2024-02-10,3.5,Logistics
338,58,2024-12-03,9.5,Logistics
339,5,2024-12-14,5.6,Reconnaissance
340,7,2024-11-30,1.6,Combat
341,169,2024-06-29,8.9,Test Flight
342,27,2024-11-01,9.7,Combat
343,457,2024-05-23,3.6,Combat
344,43,2024-05-29,7.7,Combat
345,479,2024-10-09,6.4,Logistics
346,361,2024-01-04,6.5,Test Flight
347,132,2024-05-18,2.5,Logistics
348,131,2024-01-08,8.8,Training
349,463,2024-05-24,8.1,Combat
350,57,2024-06-04,9.4,Logistics
351,92,2024-06-29,3.0,Combat
352,460,2024-01-18,7.2,Logistics
353,378,2024-06-28,8.4,Reconnaissance
354,440,2024-05-07,8.7,Training
355,5,2024-09-02,9.6,Logistics
356,253,2024-11-26,3.0,Test Flight
357,14,2024-11-06,3.2,Reconnaissance
358,302,2024-11-06,0.9,Training
359,20,2024-05-31,9.3,Reconnaissance
360,413,2024-10-02,10.0,Training
361,220,2024-10-21,3.5,Training
362,379,2024-08-13,4.0,Reconnaissance
363,183,2024-12-05,4.3,Training
364,196,2024-02-28,0.6,Logistics
365,4,2024-06-12,4.9,Test Flight
366,317,2024-10-22,9.0,Combat
367,406,2024-07-10,0.6,Training
368,90,2024-11-12,3.1,Combat
369,332,2024-08-22,1.7,Reconnaissance
370,129,2024-06-19,9.4,Test Flight
371,255,2024-08-11,3.4,Training
372,400,2024-02-18,4.4,Logistics
373,329,2024-07-23,3.3,Training
374,7,2024-03-21,5.1,Reconnaissance
375,320,2024-01-05,4.2,Test Flight
376,239,2024-02-07,1.3,Test Flight
377,120,2024-04-19,5.6,Training
378,250,2024-10-15,0.6,Logistics
379,78,2024-09-07,7.5,Reconnaissance
380,352,2024-08-28,8.5,Training
381,329,2024-05-24,4.0,Logistics
382,333,2024-08-12,2.7,Reconnaissance
383,171,2024-04-12,5.6,Training
384,169,2024-04-08,4.6,Test Flight
385,297,2024-06-10,7.7,Logistics
386,470,2024-11-19,0.7,Training
387,410,2024-02-03,4.4,Combat
388,274,2024-02-15,8.8,Test Flight
389,117,2024-09-24,6.8,Logistics
390,283,2024-03-26,8.2,Training
391,412,2024-05-26,9.5,Training
392,334,2024-09-16,7.9,Reconnaissance
393,495,2024-11-27,1.9,Training
394,114,2024-10-21,9.8,Test Flight
395,470,2024-06-13,1.3,Logistics
396,134,2024-05-19,1.3,Reconnaissance
397,441,2024-08-30,8.6,Combat
398,201,2024-11-18,0.6,Training
399,462,2024-06-22,3.1,Test Flight
400,359,2024-07-11,6.3,Test Flight
401,413,2024-05-09,5.9,Logistics
402,433,2024-04-20,1.9,Combat
403,395,2024-12-02,7.0,Reconnaissance
404,466,2024-01-31,9.4,Training
405,383,2024-02-13,9.7,Test Flight
406,482,2024-02-06,2.3,Test Flight
407,214,2024-02-09,8.9,Test Flight
408,302,2024-01-21,4.5,Reconnaissance
409,74,2024-07-26,2.1,Logistics
410,363,2024-04-06,0.9,Combat
411,419,2024-07-30,2.5,Reconnaissance
412,165,2024-09-11,4.1,Combat
413,111,2024-12-04,6.6,Reconnaissance
414,25,2024-10-20,8.9,Logistics
415,428,2024-09-21,6.5,Training
416,473,2024-12-04,2.2,Test Flight
417,344,2024-12-07,1.6,Test Flight
418,216,2024-08-01,8.6,Combat
419,469,2024-07-03,6.2,Training
420,479,2024-09-24,6.7,Logistics
421,87,2024-10-23,7.4,Combat
422,63,2024-11-22,4.2,Logistics
423,460,2024-03-25,8.7,Reconnaissance
424,253,2024-11-03,2.7,Test Flight
425,467,2024-02-16,9.0,Test Flight
426,65,2024-01-31,2.5,Combat
427,230,2024-08-23,9.3,Training
428,456,2024-03-21,4.3,Combat
429,420,2024-06-07,4.1,Logistics
430,283,2024-11-28,5.0,Logistics
431,333,2024-07-23,6.6,Test Flight
432,65,2024-01-08,8.6,Reconnaissance
433,379,2024-10-25,7.0,Logistics
434,223,2024-11-17,6.9,Combat
435,110,2024-12-20,2.6,Training
436,171,2024-01-23,8.4,Logistics
437,45,2024-09-20,7.1,Logistics
438,357,2024-03-01,2.9,Combat
439,19,2024-10-19,1.9,Training
440,306,2024-09-19,6.7,Logistics
441,115,2024-12-03,2.1,Training
442,90,2024-10-08,4.9,Training
443,322,2024-05-20,0.9,Logistics
444,127,2024-05-02,5.3,Reconnaissance
445,342,2024-04-08,2.4,Test Flight
446,414,2024-03-06,7.2,Reconnaissance
447,286,2024-01-18,1.3,Logistics
448,339,2024-06-14,9.6,Combat
449,92,2024-12-14,4.9,Logistics
450,407,2024-07-22,2.7,Training
451,313,2024-07-18,6.6,Logistics
452,83,2024-03-13,6.9,Training
453,390,2024-06-04,7.6,Combat
454,421,2024-11-21,9.1,Training
455,82,2024-01-23,0.5,Combat
456,178,2024-10-26,3.8,Training
457,244,2024-03-22,0.8,Combat
458,408,2024-06-20,6.6,Test Flight
459,313,2024-05-27,6.4,Training
460,155,2024-05-28,2.9,Combat
461,68,2024-01-17,2.8,Training
462,64,2024-06-20,8.9,Logistics
463,84,2024-05-22,1.5,Logistics
464,59,2024-02-04,6.8,Combat
465,159,2024-05-02,2.1,Combat
466,331,2024-03-13,6.0,Training
467,406,2024-10-04,6.4,Reconnaissance
468,91,2024-04-23,2.7,Training
469,130,2024-10-28,1.4,Combat
470,297,2024-08-25,9.4,Reconnaissance
471,91,2024-12-15,9.2,Combat
472,199,2024-06-17,9.3,Training
473,37,2024-03-25,8.6,Logistics
474,50,2024-10-31,3.9,Combat
475,359,2024-10-21,9.7,Training
476,382,2024-06-08,5.5,Logistics
477,74,2024-02-21,2.4,Logistics
478,85,2024-06-13,7.2,Test Flight
479,118,2024-03-08,9.3,Training
480,26,2024-01-13,9.5,Logistics
481,456,2024-08-22,1.2,Training
482,270,2024-04-04,1.6,Combat
483,248,2024-07-24,4.6,Training
484,418,2024-03-08,8.3,Test Flight
485,467,2024-08-11,7.9,Combat
486,158,2024-07-05,8.5,Combat
487,180,2024-07-13,0.9,Combat
488,323,2024-06-10,2.6,Test Flight
489,438,2024-11-29,3.5,Training
490,73,2024-11-25,8.2,Logistics
491,95,2024-05-10,8.4,Reconnaissance
492,490,2024-07-24,2.7,Reconnaissance
493,414,2024-03-08,2.6,Test Flight
494,475,2024-12-21,1.4,Logistics
495,112,2024-01-26,1.0,Logistics
496,420,2024-04-17,1.5,Combat
497,52,2024-10-19,6.5,Logistics
498,436,2024-05-02,2.2,Test Flight
499,52,2024-05-05,2.8,Reconnaissance
500,7,2024-10-27,5.9,Training
501,365,2024-10-11,6.9,Logistics
502,258,2024-09-25,3.0,Reconnaissance
503,30,2024-07-26,9.4,Reconnaissance
504,367,2024-07-25,5.4,Combat
505,25,2024-10-26,3.6,Logistics
506,316,2024-03-25,1.8,Reconnaissance
507,69,2024-10-07,4.4,Combat
508,345,2024-09-06,8.9,Combat
509,160,2024-02-16,3.4,Combat
510,358,2024-05-01,8.7,Combat
511,488,2024-10-27,7.3,Logistics
512,440,2024-05-06,9.0,Training
513,174,2024-10-23,8.8,Reconnaissance
514,307,2024-10-15,6.6,Combat
515,59,2024-05-13,4.6,Combat
516,422,2024-02-15,0.6,Test Flight
517,218,2024-05-19,5.8,Test Flight
518,427,2024-01-07,1.8,Logistics
519,169,2024-05-19,3.8,Test Flight
520,135,2024-02-11,6.5,Training
521,476,2024-07-13,1.1,Training
522,390,2024-09-24,6.3,Logistics
523,208,2024-10-24,2.1,Test Flight
524,120,2024-09-17,2.4,Test Flight
525,381,2024-07-28,6.6,Test Flight
526,9,2024-12-16,9.0,Reconnaissance
527,367,2024-08-25,0.8,Test Flight
528,188,2024-03-13,3.0,Logistics
529,247,2024-10-09,6.5,Training
530,238,2024-09-26,1.4,Test Flight
531,365,2024-05-19,7.9,Combat
532,418,2024-11-23,3.2,Reconnaissance
533,289,2024-05-17,3.9,Training
534,399,2024-11-27,7.2,Logistics
535,126,2024-11-06,1.8,Reconnaissance
536,309,2024-09-23,0.6,Logistics
537,302,2024-09-09,6.9,Test Flight
538,279,2024-10-02,8.3,Reconnaissance
539,196,2024-02-15,7.0,Combat
540,473,2024-10-27,6.7,Combat
541,399,2024-04-21,9.4,Reconnaissance
542,72,2024-09-10,3.5,Reconnaissance
543,376,2024-04-23,8.3,Combat
544,175,2024-03-02,9.2,Combat
545,453,2024-11-15,7.8,Test Flight
546,485,2024-07-24,4.2,Combat
547,4,2024-12-17,2.0,Logistics
548,414,2024-12-27,5.1,Reconnaissance
549,242,2024-05-26,7.7,Logistics
550,135,2024-11-29,9.2,Reconnaissance
551,401,2024-12-15,8.8,Reconnaissance
552,340,2024-02-17,2.5,Training
553,464,2024-11-18,9.2,Reconnaissance
554,266,2024-03-09,1.0,Reconnaissance
555,272,2024-01-21,8.5,Test Flight
556,364,2024-06-28,6.5,Logistics
557,312,2024-09-13,5.6,Logistics
558,115,2024-04-16,1.4,Combat
559,355,2024-03-08,4.6,Training
560,32,2024-06-07,4.9,Reconnaissance
561,427,2024-03-07,1.7,Logistics
562,129,2024-06-10,0.7,Logistics
563,182,2024-09-18,9.3,Combat
564,158,2024-03-12,9.0,Training
565,145,2024-09-25,6.9,Reconnaissance
566,246,2024-11-03,5.6,Combat
567,388,2024-06-20,6.7,Training
568,314,2024-06-26,6.7,Logistics
569,184,2024-03-04,5.2,Training
570,401,2024-12-29,4.1,Reconnaissance
571,338,2024-06-11,9.0,Combat
572,319,2024-07-12,9.8,Training
573,282,2024-03-16,1.8,Training
574,397,2024-04-16,6.8,Training
575,174,2024-05-13,1.5,Training
576,51,2024-10-26,6.4,Reconnaissance
577,170,2024-08-17,8.8,Training
578,326,2024-05-17,3.1,Training
579,204,2024-02-04,4.0,Test Flight
580,215,2024-09-01,2.2,Training
581,9,2024-03-17,5.0,Reconnaissance
582,223,2024-05-12,5.3,Training
583,443,2024-01-30,5.2,Test Flight
584,8,2024-09-24,4.1,Combat
585,166,2024-10-11,5.1,Combat
586,177,2024-01-21,10.0,Combat
587,384,2024-02-09,8.3,Combat
588,378,2024-07-24,1.8,Training
589,458,2024-08-20,2.5,Test Flight
590,38,2024-09-24,8.9,Reconnaissance
591,289,2024-05-12,4.3,Training
592,462,2024-09-14,6.7,Training
593,322,2024-04-11,6.9,Combat
594,438,2024-01-10,1.0,Reconnaissance
595,335,2024-06-25,8.9,Logistics
596,44,2024-12-19,2.2,Logistics
597,432,2024-11-30,6.5,Combat
598,424,2024-09-21,3.5,Training
599,285,2024-07-24,9.1,Reconnaissance
600,477,2024-10-08,9.3,Reconnaissance
601,63,2024-03-16,6.9,Reconnaissance
602,458,2024-06-26,8.9,Combat
603,69,2024-08-07,3.7,Combat
604,223,2024-05-31,2.0,Combat
605,103,2024-02-20,7.2,Training
606,454,2024-08-28,3.5,Reconnaissance
607,103,2024-07-24,9.0,Logistics
608,302,2024-06-17,9.6,Test Flight
609,239,2024-05-22,6.5,Combat
610,174,2024-10-31,2.1,Logistics
611,448,2024-09-22,8.3,Combat
612,270,2024-03-30,8.3,Combat
613,364,2024-02-06,1.3,Training
614,50,2024-05-16,4.8,Combat
615,25,2024-09-16,2.0,Test Flight
616,346,2024-07-04,8.9,Test Flight
617,222,2024-10-17,6.8,Training
618,147,2024-12-11,1.8,Training
619,425,2024-12-23,3.1,Training
620,212,2024-11-16,1.2,Logistics
621,323,2024-10-23,4.2,Combat
622,153,2024-07-03,9.8,Combat
623,152,2024-01-28,2.1,Training
624,299,2024-03-27,3.3,Combat
625,3,2024-05-01,3.6,Test Flight
626,430,2024-01-15,8.9,Test Flight
627,428,2024-11-28,9.0,Combat
628,461,2024-05-12,0.8,Logistics
629,445,2024-10-13,2.9,Test Flight
630,194,2024-08-07,7.7,Reconnaissance
631,433,2024-12-26,7.2,Reconnaissance
632,434,2024-10-19,5.2,Logistics
633,340,2024-11-04,5.2,Combat
634,392,2024-01-19,2.2,Combat
635,107,2024-08-22,4.1,Combat
636,319,2024-03-27,8.0,Training
637,16,2024-08-05,7.5,Combat
638,369,2024-08-16,1.7,Reconnaissance
639,1,2024-06-22,0.9,Logistics
640,297,2024-05-21,3.3,Combat
641,455,2024-05-19,6.4,Training
642,278,2024-11-03,5.7,Training
643,114,2024-11-20,9.5,Test Flight
644,264,2024-06-18,7.3,Logistics
645,200,2024-02-02,8.6,Test Flight
646,91,2024-12-11,6.6,Reconnaissance
647,434,2024-01-06,6.9,Logistics
648,177,2024-04-30,6.7,Training
649,13,2024-02-23,1.9,Logistics
650,393,2024-05-17,3.3,Reconnaissance
651,334,2024-03-08,8.0,Training
652,425,2024-07-15,1.3,Reconnaissance
653,233,2024-05-19,8.2,Combat
654,45,2024-07-21,1.0,Training
655,110,2024-05-09,3.0,Training
656,63,2024-01-09,9.8,Combat
657,112,2024-05-13,3.5,Reconnaissance
658,382,2024-10-18,6.9,Training
659,362,2024-07-16,9.8,Logistics
660,433,2024-06-29,2.4,Logistics
661,9,2024-08-28,9.3,Combat
662,100,2024-11-28,7.8,Reconnaissance
663,10,2024-07-11,9.0,Test Flight
664,367,2024-05-10,6.9,Reconnaissance
665,34,2024-12-11,9.8,Combat
666,4,2024-02-20,4.6,Reconnaissance
667,207,2024-01-30,5.2,Logistics
668,452,2024-01-08,2.0,Test Flight
669,56,2024-05-09,4.5,Training
670,363,2024-12-29,3.5,Reconnaissance
671,500,2024-03-05,1.9,Test Flight
672,120,2024-10-21,4.8,Reconnaissance
673,87,2024-03-15,6.9,Training
674,292,2024-12-04,9.4,Reconnaissance
675,489,2024-01-25,9.4,Test Flight
676,115,2024-04-25,7.0,Reconnaissance
677,333,2024-04-19,7.8,Reconnaissance
678,457,2024-01-05,1.8,Reconnaissance
679,493,2024-07-19,6.0,Combat
680,310,2024-02-03,9.3,Combat
681,285,2024-02-19,6.8,Logistics
682,261,2024-01-17,4.3,Training
683,166,2024-09-19,5.7,Logistics
684,205,2024-10-13,8.2,Combat
685,272,2024-07-11,3.7,Logistics
686,337,2024-02-14,5.2,Training
687,177,2024-04-07,2.9,Reconnaissance
688,289,2024-07-12,7.3,Training
689,417,2024-03-06,1.2,Training
690,497,2024-11-06,3.1,Reconnaissance
