Maintenance_ID,Aircraft_ID,Date,Subsystem,Issue_Reported,Resolution,Downtime_Days
45,390,2024-10-05,Landing Gear,Hydraulic Leak,Part Repair,8
46,207,2024-08-29,Engine,Sensor Fault,Component Replacement,10
47,459,2024-12-07,Weapons,Fuel Leak,Part Repair,17
48,490,2024-07-19,Avionics,Weapon Jam,System Reset,22
49,437,2024-01-15,Landing Gear,Oil Leak,Software Update,4
50,117,2024-09-20,Avionics,Radar Failure,Part Repair,2
51,292,2024-12-16,Avionics,Weapon Jam,Part Repair,2
52,430,2024-01-20,Weapons,Gear Malfunction,Part Repair,12
53,187,2024-01-16,Landing Gear,Hydraulic Leak,Part Repair,6
54,23,2024-01-28,Avionics,Radar Failure,Part Repair,18
55,279,2024-04-30,Engine,Sensor Fault,Component Replacement,15
56,367,2024-06-07,Landing Gear,Hydraulic Leak,Software Update,14
57,308,2024-01-10,Fuel System,Sensor Fault,Part Repair,21
58,25,2024-03-26,Landing Gear,Fuel Leak,Part Repair,1
59,132,2024-08-19,Engine,Fuel Leak,Inspection,22
60,26,2024-10-28,Engine,Gear Malfunction,Part Repair,3
61,1,2024-04-08,Engine,Oil Leak,System Reset,28
62,276,2024-05-19,Landing Gear,Fuel Leak,Component Replacement,26
63,386,2024-05-25,Landing Gear,Sensor Fault,Software Update,22
64,195,2024-05-13,Weapons,Gear Malfunction,Part Repair,22
65,96,2024-10-31,Hydraulics,Radar Failure,System Reset,28
66,139,2024-02-17,Radar,Oil Leak,Calibration,16
67,56,2024-01-03,Fuel System,Hydraulic Leak,Component Replacement,11
68,22,2024-01-19,Weapons,Radar Failure,Inspection,1
69,106,2024-10-11,Landing Gear,Oil Leak,Software Update,29
70,129,2024-01-17,Engine,Fuel Leak,Part Repair,26
71,48,2024-08-10,Hydraulics,Weapon Jam,Software Update,24
72,333,2024-08-18,Hydraulics,Radar Failure,Inspection,1
73,254,2024-09-07,Fuel System,Fuel Leak,Software Update,26
74,469,2024-06-07,Fuel System,Oil Leak,Calibration,28
75,93,2024-08-03,Weapons,Radar Failure,System Reset,6
76,206,2024-06-27,Radar,Gear Malfunction,Calibration,26
77,114,2024-02-02,Engine,Oil Leak,Part Repair,9
78,154,2024-12-14,Fuel System,Radar Failure,Calibration,6
79,227,2024-08-24,Weapons,Sensor Fault,Part Repair,3
80,406,2024-06-06,Hydraulics,Hydraulic Leak,Inspection,27
81,313,2024-03-16,Avionics,Gear Malfunction,Part Repair,27
82,246,2024-01-25,Avionics,Sensor Fault,Part Repair,25
83,41,2024-12-19,Avionics,Weapon Jam,Calibration,14
84,336,2024-05-29,Weapons,Sensor Fault,System Reset,28
85,369,2024-03-19,Avionics,Oil Leak,Part Repair,26
86,79,2024-07-24,Radar,Radar Failure,Component Replacement,11
87,391,2024-10-12,Fuel System,Weapon Jam,Part Repair,8
88,112,2024-07-21,Avionics,Hydraulic Leak,Software Update,2
89,311,2024-08-02,Landing Gear,Fuel Leak,Calibration,7
90,358,2024-01-24,Weapons,Radar Failure,Component Replacement,7
91,132,2024-02-25,Radar,Gear Malfunction,Part Repair,2
92,486,2024-12-06,Weapons,Oil Leak,System Reset,21
93,121,2024-09-22,Avionics,Radar Failure,Calibration,7
94,485,2024-04-11,Weapons,Radar Failure,Software Update,11
95,111,2024-03-02,Fuel System,Hydraulic Leak,Software Update,26
96,139,2024-10-23,Engine,Weapon Jam,Part Repair,1
97,391,2024-12-14,Landing Gear,Hydraulic Leak,Inspection,12
98,287,2024-01-20,Weapons,Weapon Jam,Inspection,23
99,71,2024-10-13,Engine,Oil Leak,Inspection,13
100,199,2024-10-06,Hydraulics,Weapon Jam,Component Replacement,11
101,18,2024-05-08,Fuel System,Radar Failure,Component Replacement,18
102,49,2024-09-27,Radar,Sensor Fault,Software Update,10
103,462,2024-10-08,Hydraulics,Fuel Leak,Part Repair,24
104,43,2024-07-06,Landing Gear,Fuel Leak,Software Update,5
105,86,2024-09-26,Weapons,Radar Failure,Inspection,1
106,51,2024-06-22,Engine,Weapon Jam,System Reset,16
107,430,2024-08-17,Avionics,Sensor Fault,Software Update,2
108,87,2024-01-25,Fuel System,Hydraulic Leak,Software Update,25
109,286,2024-04-04,Landing Gear,Fuel Leak,System Reset,9
110,328,2024-02-05,Radar,Weapon Jam,Part Repair,4
111,250,2024-08-13,Avionics,Radar Failure,Component Replacement,26
112,454,2024-02-24,Avionics,Hydraulic Leak,Software Update,1
113,186,2024-07-29,Engine,Sensor Fault,Inspection,10
114,112,2024-09-17,Weapons,Gear Malfunction,Calibration,7
115,270,2024-04-04,Engine,Hydraulic Leak,Component Replacement,25
116,369,2024-03-09,Hydraulics,Gear Malfunction,Software Update,14
117,191,2024-02-02,Weapons,Sensor Fault,Part Repair,9
118,153,2024-04-03,Avionics,Weapon Jam,Part Repair,18
119,140,2024-08-30,Fuel System,Radar Failure,Part Repair,28
120,452,2024-11-25,Weapons,Radar Failure,System Reset,5
121,483,2024-06-03,Engine,Gear Malfunction,Part Repair,6
122,85,2024-02-19,Landing Gear,Hydraulic Leak,Inspection,20
123,413,2024-02-27,Engine,Oil Leak,Inspection,27
124,86,2024-11-08,Weapons,Sensor Fault,Calibration,27
125,467,2024-10-17,Fuel System,Fuel Leak,Component Replacement,8
126,348,2024-09-02,Weapons,Fuel Leak,Component Replacement,3
127,159,2024-12-24,Radar,Radar Failure,Calibration,18
128,219,2024-12-07,Fuel System,Fuel Leak,Component Replacement,25
129,492,2024-09-23,Avionics,Oil Leak,System Reset,19
130,270,2024-10-07,Weapons,Oil Leak,System Reset,26
131,375,2024-07-22,Hydraulics,Sensor Fault,Inspection,14
132,319,2024-06-06,Avionics,Sensor Fault,Inspection,10
133,439,2024-03-27,Avionics,Gear Malfunction,Calibration,6
134,380,2024-02-12,Weapons,Sensor Fault,Part Repair,10
135,192,2024-01-22,Hydraulics,Fuel Leak,Calibration,15
136,68,2024-10-13,Landing Gear,Hydraulic Leak,System Reset,21
137,477,2024-09-17,Hydraulics,Weapon Jam,System Reset,19
138,264,2024-03-06,Hydraulics,Radar Failure,Calibration,1
139,76,2024-12-17,Radar,Gear Malfunction,System Reset,20
140,63,2024-10-21,Fuel System,Weapon Jam,System Reset,1
141,307,2024-06-26,Avionics,Weapon Jam,Part Repair,19
142,348,2024-04-06,Fuel System,Sensor Fault,Calibration,25
143,429,2024-01-01,Fuel System,Sensor Fault,System Reset,29
144,180,2024-05-25,Radar,Radar Failure,Part Repair,23
145,26,2024-10-14,Hydraulics,Hydraulic Leak,Software Update,6
146,175,2024-10-27,Landing Gear,Sensor Fault,Part Repair,10
147,54,2024-01-25,Fuel System,Oil Leak,Software Update,5
148,433,2024-10-10,Weapons,Sensor Fault,Calibration,27
149,419,2024-04-29,Weapons,Radar Failure,System Reset,3
150,338,2024-03-28,Engine,Sensor Fault,Part Repair,3
151,450,2024-10-22,Radar,Fuel Leak,Part Repair,23
152,143,2024-10-19,Engine,Fuel Leak,Calibration,3
153,381,2024-11-25,Avionics,Radar Failure,Part Repair,9
154,419,2024-03-08,Hydraulics,Gear Malfunction,System Reset,14
155,441,2024-12-01,Avionics,Fuel Leak,Part Repair,11
156,37,2024-05-06,Weapons,Gear Malfunction,Inspection,28
157,482,2024-07-11,Avionics,Gear Malfunction,Component Replacement,21
158,243,2024-09-20,Hydraulics,Gear Malfunction,Calibration,5
159,441,2024-12-08,Radar,Sensor Fault,System Reset,26
160,125,2024-03-09,Fuel System,Hydraulic Leak,Software Update,4
161,8,2024-04-30,Radar,Radar Failure,Part Repair,15
162,118,2024-12-19,Weapons,Oil Leak,Component Replacement,20
163,62,2024-04-01,Engine,Fuel Leak,Component Replacement,16
164,191,2024-05-29,Landing Gear,Weapon Jam,System Reset,6
165,205,2024-04-18,Landing Gear,Weapon Jam,Calibration,27
166,161,2024-12-30,Weapons,Radar Failure,Software Update,9
167,480,2024-05-14,Radar,Sensor Fault,System Reset,3
168,370,2024-06-13,Radar,Hydraulic Leak,Part Repair,28
169,454,2024-03-20,Engine,Hydraulic Leak,Software Update,20
170,426,2024-03-06,Landing Gear,Hydraulic Leak,Inspection,20
171,204,2024-12-25,Weapons,Gear Malfunction,Component Replacement,11
172,234,2024-05-11,Weapons,Sensor Fault,Component Replacement,4
173,125,2024-10-11,Weapons,Oil Leak,Part Repair,7
174,367,2024-02-27,Avionics,Weapon Jam,Inspection,10
175,451,2024-12-13,Radar,Sensor Fault,Part Repair,3
176,287,2024-09-26,Avionics,Radar Failure,Software Update,5
177,104,2024-02-26,Weapons,Fuel Leak,System Reset,13
178,251,2024-01-11,Avionics,Radar Failure,Calibration,9
179,230,2024-08-11,Hydraulics,Sensor Fault,Component Replacement,26
180,7,2024-05-27,Fuel System,Gear Malfunction,Inspection,27
181,415,2024-11-12,Fuel System,Weapon Jam,Calibration,18
182,181,2024-01-25,Weapons,Sensor Fault,Software Update,14
183,335,2024-04-29,Engine,Sensor Fault,System Reset,29
184,478,2024-03-13,Avionics,Sensor Fault,Calibration,28
185,295,2024-03-30,Engine,Hydraulic Leak,Calibration,29
186,144,2024-10-06,Radar,Hydraulic Leak,Component Replacement,6
187,308,2024-06-21,Radar,Fuel Leak,System Reset,8
188,463,2024-12-01,Fuel System,Gear Malfunction,Calibration,28
189,195,2024-11-20,Weapons,Sensor Fault,Part Repair,8
190,236,2024-12-18,Hydraulics,Oil Leak,Part Repair,21
191,186,2024-08-30,Landing Gear,Radar Failure,Software Update,21
192,31,2024-06-04,Engine,Sensor Fault,Component Replacement,1
193,310,2024-02-20,Hydraulics,Weapon Jam,Inspection,5
194,446,2024-07-18,Avionics,Gear Malfunction,Component Replacement,1
195,144,2024-08-17,Hydraulics,Hydraulic Leak,Component Replacement,14
196,184,2024-10-31,Engine,Fuel Leak,Component Replacement,6
197,121,2024-04-03,Engine,Radar Failure,Component Replacement,28
198,432,2024-05-10,Hydraulics,Weapon Jam,Calibration,17
199,4,2024-03-02,Weapons,Sensor Fault,Calibration,22
200,348,2024-09-19,Weapons,Oil Leak,Calibration,23
201,190,2024-01-13,Radar,Weapon Jam,Part Repair,9
202,321,2024-01-26,Hydraulics,Radar Failure,System Reset,17
203,360,2024-03-18,Engine,Radar Failure,Calibration,3
204,291,2024-06-24,Hydraulics,Sensor Fault,Software Update,6
205,293,2024-04-12,Avionics,Gear Malfunction,Inspection,22
206,408,2024-08-25,Engine,Radar Failure,Software Update,11
207,328,2024-05-13,Engine,Hydraulic Leak,Calibration,1
208,152,2024-05-21,Landing Gear,Gear Malfunction,Component Replacement,19
209,186,2024-02-20,Engine,Oil Leak,Part Repair,2
210,483,2024-05-11,Engine,Sensor Fault,Calibration,21
211,365,2024-08-24,Weapons,Radar Failure,Part Repair,16
212,281,2024-06-29,Avionics,Fuel Leak,Part Repair,22
213,52,2024-01-25,Avionics,Fuel Leak,Software Update,27
214,355,2024-08-11,Fuel System,Radar Failure,System Reset,7
215,411,2024-12-04,Hydraulics,Weapon Jam,Inspection,25
216,27,2024-08-03,Weapons,Hydraulic Leak,System Reset,19
217,346,2024-09-01,Fuel System,Weapon Jam,Part Repair,22
218,230,2024-01-08,Landing Gear,Gear Malfunction,Component Replacement,18
219,221,2024-12-28,Avionics,Oil Leak,Inspection,16
220,65,2024-08-14,Landing Gear,Oil Leak,Inspection,8
221,148,2024-06-25,Fuel System,Fuel Leak,Software Update,26
222,333,2024-03-10,Landing Gear,Hydraulic Leak,System Reset,20
223,35,2024-04-08,Avionics,Oil Leak,Part Repair,23
224,378,2024-09-09,Engine,Fuel Leak,System Reset,18
225,385,2024-01-09,Engine,Fuel Leak,Software Update,25
226,232,2024-06-25,Engine,Fuel Leak,Part Repair,12
227,303,2024-05-25,Fuel System,Sensor Fault,Inspection,6
228,395,2024-06-08,Weapons,Hydraulic Leak,Component Replacement,3
229,61,2024-04-13,Fuel System,Radar Failure,Component Replacement,25
230,367,2024-10-04,Engine,Weapon Jam,Part Repair,18
231,132,2024-06-15,Radar,Hydraulic Leak,Part Repair,22
232,348,2024-01-18,Landing Gear,Gear Malfunction,System Reset,23
233,479,2024-07-17,Hydraulics,Weapon Jam,Part Repair,16
234,122,2024-11-24,Landing Gear,Gear Malfunction,Calibration,14
235,182,2024-09-08,Hydraulics,Gear Malfunction,System Reset,23
236,395,2024-06-21,Landing Gear,Fuel Leak,Part Repair,4
237,64,2024-02-16,Fuel System,Oil Leak,Calibration,16
238,489,2024-07-13,Radar,Radar Failure,Part Repair,23
239,232,2024-09-29,Engine,Sensor Fault,Part Repair,13
240,228,2024-08-17,Avionics,Hydraulic Leak,Software Update,2
241,209,2024-06-19,Landing Gear,Gear Malfunction,System Reset,23
242,68,2024-10-05,Landing Gear,Hydraulic Leak,System Reset,23
243,464,2024-11-17,Fuel System,Hydraulic Leak,Part Repair,3
244,29,2024-04-16,Engine,Gear Malfunction,Inspection,14
245,219,2024-11-02,Engine,Weapon Jam,Calibration,27
246,14,2024-01-09,Weapons,Radar Failure,Part Repair,14
247,294,2024-01-15,Landing Gear,Sensor Fault,Inspection,1
248,458,2024-06-24,Fuel System,Sensor Fault,Calibration,5
249,15,2024-09-13,Landing Gear,Gear Malfunction,Component Replacement,29
250,371,2024-12-13,Fuel System,Gear Malfunction,System Reset,26
251,162,2024-09-20,Landing Gear,Hydraulic Leak,Calibration,4
252,198,2024-01-03,Radar,Sensor Fault,Inspection,16
253,32,2024-07-26,Avionics,Fuel Leak,Component Replacement,23
254,123,2024-12-13,Landing Gear,Gear Malfunction,Component Replacement,27
255,32,2024-01-27,Engine,Radar Failure,Component Replacement,25
256,256,2024-07-15,Engine,Weapon Jam,Software Update,28
257,6,2024-07-06,Avionics,Radar Failure,Software Update,29
258,199,2024-02-24,Hydraulics,Fuel Leak,Part Repair,5
259,493,2024-05-12,Avionics,Fuel Leak,System Reset,5
260,52,2024-03-30,Fuel System,Fuel Leak,Calibration,22
261,483,2024-06-11,Fuel System,Oil Leak,Part Repair,3
262,211,2024-09-13,Radar,Gear Malfunction,Calibration,29
263,432,2024-12-11,Avionics,Weapon Jam,Inspection,15
264,362,2024-08-03,Radar,Sensor Fault,Inspection,2
265,499,2024-10-08,Engine,Fuel Leak,Part Repair,9
266,47,2024-10-27,Radar,Oil Leak,Inspection,20
267,202,2024-06-16,Engine,Radar Failure,System Reset,12
268,454,2024-08-12,Avionics,Oil Leak,Component Replacement,16
269,252,2024-01-14,Engine,Weapon Jam,Component Replacement,16
270,183,2024-05-26,Landing Gear,Sensor Fault,Software Update,11
271,464,2024-01-10,Hydraulics,Weapon Jam,System Reset,19
272,375,2024-06-18,Hydraulics,Gear Malfunction,Calibration,14
273,308,2024-03-18,Hydraulics,Sensor Fault,Software Update,21
274,286,2024-01-26,Weapons,Oil Leak,Part Repair,17
275,375,2024-05-07,Avionics,Radar Failure,System Reset,18
276,215,2024-11-28,Fuel System,Radar Failure,Component Replacement,6
277,286,2024-11-13,Hydraulics,Oil Leak,Component Replacement,4
278,383,2024-08-15,Hydraulics,Radar Failure,Software Update,16
279,189,2024-01-03,Avionics,Fuel Leak,Software Update,1
280,186,2024-10-25,Weapons,Sensor Fault,Part Repair,10
281,487,2024-12-23,Fuel System,Fuel Leak,Component Replacement,22
282,88,2024-09-18,Fuel System,Hydraulic Leak,Part Repair,22
283,1,2024-11-21,Fuel System,Radar Failure,Software Update,4
284,53,2024-09-14,Landing Gear,Radar Failure,Inspection,9
285,413,2024-10-25,Engine,Oil Leak,System Reset,28
286,453,2024-07-12,Landing Gear,Gear Malfunction,Software Update,18
287,54,2024-12-23,Engine,Oil Leak,Part Repair,12
288,242,2024-08-14,Weapons,Fuel Leak,System Reset,17
289,171,2024-07-28,Radar,Fuel Leak,Inspection,25
290,268,2024-04-12,Fuel System,Radar Failure,Software Update,21
291,167,2024-06-04,Weapons,Fuel Leak,Part Repair,27
292,187,2024-10-27,Landing Gear,Oil Leak,Software Update,11
293,71,2024-04-20,Fuel System,Oil Leak,Component Replacement,7
294,295,2024-09-06,Engine,Gear Malfunction,Calibration,11
295,498,2024-05-05,Engine,Hydraulic Leak,Component Replacement,2
296,179,2024-04-26,Radar,Gear Malfunction,Inspection,28
297,424,2024-07-06,Fuel System,Radar Failure,Inspection,12
298,433,2024-09-23,Fuel System,Hydraulic Leak,System Reset,10
299,449,2024-11-11,Hydraulics,Fuel Leak,Inspection,18
300,255,2024-09-11,Avionics,Sensor Fault,Component Replacement,3
301,471,2024-09-06,Avionics,Fuel Leak,Component Replacement,13
302,418,2024-07-05,Fuel System,Sensor Fault,Component Replacement,2
303,340,2024-02-20,Fuel System,Weapon Jam,Part Repair,23
304,174,2024-12-24,Fuel System,Hydraulic Leak,Inspection,26
305,151,2024-07-07,Landing Gear,Gear Malfunction,Component Replacement,28
306,268,2024-12-14,Landing Gear,Sensor Fault,Inspection,29
307,8,2024-06-11,Weapons,Sensor Fault,Calibration,12
308,486,2024-05-23,Radar,Fuel Leak,Component Replacement,17
309,160,2024-12-01,Weapons,Gear Malfunction,Part Repair,29
310,381,2024-06-27,Fuel System,Hydraulic Leak,System Reset,3
311,492,2024-05-18,Landing Gear,Weapon Jam,Software Update,11
312,263,2024-12-29,Avionics,Weapon Jam,Software Update,25
313,459,2024-12-09,Radar,Fuel Leak,Calibration,3
314,336,2024-09-04,Landing Gear,Gear Malfunction,System Reset,14
315,454,2024-05-10,Radar,Weapon Jam,Component Replacement,3
316,87,2024-08-06,Avionics,Radar Failure,Software Update,22
317,268,2024-08-04,Landing Gear,Sensor Fault,Component Replacement,17
318,112,2024-05-05,Radar,Oil Leak,System Reset,7
319,49,2024-02-11,Landing Gear,Oil Leak,Software Update,14
320,147,2024-05-21,Hydraulics,Fuel Leak,Component Replacement,22
321,228,2024-03-11,Engine,Gear Malfunction,Component Replacement,4
322,72,2024-02-15,Hydraulics,Oil Leak,System Reset,22
323,362,2024-05-03,Avionics,Weapon Jam,Software Update,27
324,335,2024-09-20,Radar,Fuel Leak,Inspection,26
325,397,2024-08-10,Fuel System,Sensor Fault,Part Repair,20
326,379,2024-03-14,Radar,Gear Malfunction,Software Update,6
327,449,2024-02-22,Landing Gear,Fuel Leak,Component Replacement,3
328,158,2024-12-22,Engine,Sensor Fault,Inspection,15
329,170,2024-08-14,Engine,Fuel Leak,Inspection,8
330,210,2024-12-30,Hydraulics,Fuel Leak,Part Repair,5
331,98,2024-06-01,Fuel System,Hydraulic Leak,System Reset,20
332,288,2024-08-25,Landing Gear,Oil Leak,Component Replacement,15
333,134,2024-11-21,Fuel System,Hydraulic Leak,Calibration,11
334,496,2024-05-18,Hydraulics,Hydraulic Leak,Calibration,9
335,387,2024-09-25,Weapons,Hydraulic Leak,Part Repair,27
336,252,2024-04-04,Fuel System,Radar Failure,Component Replacement,15
337,1,2024-08-06,Radar,Oil Leak,System Reset,7
338,176,2024-05-15,Engine,Hydraulic Leak,System Reset,1
339,382,2024-10-04,Engine,Gear Malfunction,Software Update,4
340,399,2024-08-10,Fuel System,Gear Malfunction,Calibration,20
341,464,2024-06-10,Avionics,Hydraulic Leak,System Reset,12
342,117,2024-08-04,Hydraulics,Radar Failure,Component Replacement,2
343,248,2024-06-30,Hydraulics,Hydraulic Leak,Calibration,9
344,440,2024-09-05,Fuel System,Fuel Leak,System Reset,2
345,19,2024-11-09,Weapons,Sensor Fault,Part Repair,24
346,458,2024-11-24,Weapons,Sensor Fault,Software Update,16
347,130,2024-01-30,Engine,Sensor Fault,Calibration,22
348,120,2024-03-30,Engine,Fuel Leak,Software Update,1
349,477,2024-04-13,Weapons,Hydraulic Leak,System Reset,26
350,120,2024-03-17,Engine,Fuel Leak,Component Replacement,10
351,390,2024-10-31,Weapons,Sensor Fault,Component Replacement,3
352,347,2024-04-09,Fuel System,Weapon Jam,Component Replacement,25
353,354,2024-03-16,Radar,Gear Malfunction,System Reset,20
354,424,2024-05-05,Avionics,Fuel Leak,Component Replacement,9
355,28,2024-07-24,Landing Gear,Gear Malfunction,Calibration,6
356,456,2024-04-13,Engine,Fuel Leak,Calibration,4
357,114,2024-09-16,Weapons,Gear Malfunction,Software Update,27
358,380,2024-08-19,Weapons,Sensor Fault,Software Update,22
359,298,2024-08-24,Weapons,Fuel Leak,Component Replacement,12
360,312,2024-01-20,Radar,Sensor Fault,Inspection,23
361,42,2024-06-30,Engine,Sensor Fault,Component Replacement,29
362,42,2024-10-16,Hydraulics,Hydraulic Leak,Part Repair,24
363,168,2024-01-15,Landing Gear,Weapon Jam,Component Replacement,21
364,51,2024-01-25,Weapons,Fuel Leak,System Reset,28
365,48,2024-05-26,Hydraulics,Fuel Leak,System Reset,11
366,485,2024-11-14,Fuel System,Radar Failure,Calibration,2
367,462,2024-12-05,Avionics,Fuel Leak,Inspection,2
368,252,2024-08-06,Weapons,Weapon Jam,Inspection,12
369,197,2024-12-18,Weapons,Hydraulic Leak,Calibration,10
370,361,2024-07-30,Weapons,Weapon Jam,System Reset,25
371,323,2024-03-16,Fuel System,Oil Leak,System Reset,15
372,480,2024-04-11,Radar,Oil Leak,Part Repair,13
373,231,2024-11-27,Engine,Hydraulic Leak,Software Update,14
374,402,2024-11-24,Fuel System,Hydraulic Leak,Calibration,4
375,44,2024-08-01,Avionics,Hydraulic Leak,Software Update,10
376,217,2024-04-11,Landing Gear,Sensor Fault,Calibration,24
377,313,2024-12-11,Engine,Gear Malfunction,System Reset,5
378,305,2024-04-05,Engine,Radar Failure,Software Update,26
379,261,2024-06-11,Landing Gear,Fuel Leak,Inspection,26
380,158,2024-03-21,Radar,Weapon Jam,Inspection,6
381,32,2024-01-19,Avionics,Fuel Leak,Inspection,10
382,37,2024-07-21,Fuel System,Fuel Leak,Component Replacement,5
383,236,2024-02-16,Fuel System,Fuel Leak,Software Update,28
384,253,2024-10-05,Avionics,Gear Malfunction,Component Replacement,25
385,4,2024-08-26,Engine,Sensor Fault,Calibration,12
386,36,2024-02-13,Fuel System,Oil Leak,Part Repair,9
387,89,2024-08-16,Avionics,Weapon Jam,Calibration,19
388,316,2024-06-13,Engine,Fuel Leak,Component Replacement,11
389,60,2024-01-30,Avionics,Gear Malfunction,Component Replacement,17
390,236,2024-01-14,Weapons,Gear Malfunction,Part Repair,3
391,374,2024-10-21,Engine,Fuel Leak,Calibration,6
392,67,2024-10-10,Radar,Hydraulic Leak,Software Update,15
393,68,2024-04-27,Weapons,Oil Leak,Component Replacement,25
394,298,2024-07-29,Weapons,Oil Leak,Calibration,6
395,482,2024-07-09,Engine,Fuel Leak,Component Replacement,15
396,8,2024-03-26,Avionics,Gear Malfunction,Calibration,10
397,293,2024-12-26,Fuel System,Radar Failure,System Reset,12
398,224,2024-10-31,Hydraulics,Gear Malfunction,Component Replacement,5
399,235,2024-08-31,Avionics,Sensor Fault,Component Replacement,6
400,363,2024-06-21,Engine,Gear Malfunction,Software Update,27
401,201,2024-11-26,Fuel System,Hydraulic Leak,Inspection,22
402,216,2024-10-17,Avionics,Hydraulic Leak,Calibration,10
403,10,2024-10-07,Radar,Sensor Fault,Inspection,20
404,116,2024-10-03,Fuel System,Weapon Jam,Software Update,28
405,108,2024-03-25,Avionics,Oil Leak,Software Update,18
406,174,2024-05-27,Fuel System,Hydraulic Leak,Component Replacement,29
407,377,2024-08-06,Fuel System,Weapon Jam,System Reset,15
408,209,2024-07-11,Avionics,Fuel Leak,Part Repair,11
409,240,2024-07-29,Avionics,Oil Leak,System Reset,12
410,333,2024-07-14,Engine,Weapon Jam,Calibration,5
411,273,2024-02-23,Fuel System,Sensor Fault,Software Update,21
412,236,2024-08-07,Weapons,Weapon Jam,Part Repair,3
413,362,2024-08-04,Weapons,Weapon Jam,Software Update,18
414,421,2024-06-01,Engine,Fuel Leak,Component Replacement,16
415,445,2024-11-04,Weapons,Fuel Leak,System Reset,10
416,350,2024-04-26,Hydraulics,Radar Failure,System Reset,19
417,121,2024-09-18,Weapons,Gear Malfunction,Software Update,10
418,199,2024-10-13,Hydraulics,Hydraulic Leak,Inspection,13
419,72,2024-01-14,Landing Gear,Weapon Jam,Part Repair,18
420,292,2024-11-20,Fuel System,Fuel Leak,Component Replacement,5
421,118,2024-03-08,Avionics,Fuel Leak,Part Repair,2
422,22,2024-04-05,Engine,Radar Failure,Part Repair,9
423,292,2024-08-31,Engine,Oil Leak,System Reset,7
424,496,2024-05-04,Avionics,Radar Failure,Software Update,16
425,261,2024-04-28,Fuel System,Hydraulic Leak,Calibration,3
426,306,2024-03-04,Weapons,Fuel Leak,Calibration,27
427,279,2024-04-30,Landing Gear,Weapon Jam,Software Update,5
428,86,2024-02-15,Avionics,Fuel Leak,Software Update,24
429,57,2024-07-19,Hydraulics,Radar Failure,Component Replacement,14
430,323,2024-03-22,Engine,Gear Malfunction,Software Update,7
431,339,2024-03-17,Engine,Weapon Jam,System Reset,8
432,141,2024-06-27,Weapons,Oil Leak,Part Repair,20
433,478,2024-12-08,Landing Gear,Sensor Fault,Calibration,13
